topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,subtype,notes
does-medicare-cover-dental,Does Medicare Cover Dental Care in 2026?,,,,1,none,high,n,1,"medicare.gov,aarp,already-live-CU",y,n,qa-coverage,"Already live. Reference only."
does-medicare-cover-vision,Does Medicare Cover Vision Care in 2026?,,,,1,none,high,n,1,"medicare.gov,aarp,already-live-CU",y,n,qa-coverage,"Already live. Reference only."
does-medicaid-cover-rehab,Does Medicaid Cover Drug & Alcohol Rehab in 2026?,,,,1,slight,medium,n,1,"medicaid.gov,samhsa,already-live-CU",y,n,qa-coverage,"Already live. Reference only."
does-medicare-cover-hearing-aids,Does Medicare Cover Hearing Aids in 2026?,1900,1868,2900,1,none,high,n,1,"Bing-does-medicare-cover-hearing-aids-2487-broad-1868-strict-corrected,medicare.gov,aarp,humana",n,n,qa-coverage,"Demand corrected from 3200 to 1900 (strict-match per critique §4 — A was double-counting broad)."
does-medicare-cover-ozempic,Does Medicare Cover Ozempic in 2026? (Type 2 vs Weight-Loss Rules),2400,215,3300,1,none,high,n,1,"Bing-ozempic-100-related-30k-volume,medicare.gov,goodrx,kff",n,n,qa-coverage,"Long-tail year+policy angle per critique §7. Cover Type-2 vs WL distinction."
does-medicare-cover-wegovy,Does Medicare Cover Wegovy in 2026? (Cardiovascular Indication),1900,1224,2400,1,none,high,n,1,"Bing-does-medicare-cover-wegovy-1522-broad-1224-strict,kff,goodrx",n,n,qa-coverage,"CV indication is the 2024+ policy hook."
does-medicare-cover-mounjaro-2026,Does Medicare Cover Mounjaro in 2026?,900,80,1300,1,none,high,y,1,"goodrx,kff,GLP-1-class-extension,Bing-mounjaro-related",n,n,qa-coverage,"State-fork: state Medicaid GLP-1 variation is the 2026 angle (critique additions §2)."
does-medicare-cover-zepbound-2026,Does Medicare Cover Zepbound in 2026?,720,62,1300,y,none,low,n,1,"GLP-1-class-extension,Bing-related-zepbound,goodrx",n,n,qa-coverage,"State-fork. New brand 2024+ in news cycle."
does-medicare-cover-glp1-weight-loss,Does Medicare Cover GLP-1 Drugs for Weight Loss in 2026? (Class Umbrella),1400,125,2200,1,none,medium,n,1,"kff,goodrx,cms,FANOUT-4.3-class-umbrella",n,n,qa-coverage,"Class umbrella per critique §6 adjudication — keep umbrella + per-drug pages."
does-medicaid-cover-ozempic,Does Medicaid Cover Ozempic and GLP-1 Drugs in 2026?,920,82,1300,2,slight,medium,n,1,"kff,goodrx,medicaid.gov,Bing-ozempic-related-100,FANOUT-4.3",n,n,qa-coverage,"National coverage Q&A. Companion to state-fork page below."
does-medicaid-cover-glp1-by-state,Does Medicaid Cover GLP-1 for Weight Loss by State in 2026? (51-Fork),1100,98,1500,2,slight,medium,y,1,"kff-state-medicaid-glp1-tracker,critique-§2,B-misplaced-drug-template-state-fork",n,n,qa-coverage,"State-fork (51 pages). Critique §2 + drug-critique rerouted here. CA/NC/PA/CT cover; most don't. Hottest 2026 state-fork."
does-medicare-cover-eye-exams,Does Medicare Cover Eye Exams in 2026?,1100,98,1600,1,none,medium,n,1,"Bing-vision-coverage-related,medicare.gov,humana,aarp",n,n,qa-coverage,
