topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources
freelancers,Health Insurance for Freelancers: 2026 Complete Guide,,,,,slight,high,n,1,"Stride,Catch,FreelancersUnion,HSAforAmerica,Worksuite,GoodRx"
1099-independent-contractors,Health Insurance for 1099 Independent Contractors: 2026 Best Options,,,,,slight,high,n,1,"Stride,HealthCare.gov,GoodRx,HSAforAmerica,BenAvest"
small-business-owners,Health Insurance for Small Business Owners: 2026 Individual vs Group,,,,,slight,high,n,1,"HSAforAmerica,NerdWallet,SmallBizMag,HealthCare.gov,BUSA(slight)"
startup-founders,Health Insurance for Startup Founders: 2026 Pre-Revenue Coverage Options,,,,,none,low,n,1,"HSAforAmerica,Catch,Lettuce"
sole-proprietors,Health Insurance for Sole Proprietors: 2026 Self-Employment Deduction Guide,,,,,none,low,n,2,"HealthCare.gov,GoodRx,IRS"
solopreneurs,Health Insurance for Solopreneurs: 2026 ACA + HSA Stack Guide,,,,,none,low,n,2,"HSAforAmerica,Catch,Lettuce"
consultants,Health Insurance for Consultants: 2026 Independent Consultant Coverage Guide,,,,,none,medium,n,1,"BCBS,Cigna,SmartandSimple,Anthem"
agency-owners,Health Insurance for Agency Owners: 2026 Group vs Individual Decision Guide,,,,,none,low,n,2,"HSAforAmerica,SHRM"
freelance-writers,Health Insurance for Freelance Writers: 2026 Guide,,,,,none,low,n,2,"FreelancersUnion,Catch,EntertainmentCommunityFund"
freelance-designers,Health Insurance for Freelance Designers: 2026 Guide,,,,,none,low,n,2,"FreelancersUnion,Catch"
freelance-developers,Health Insurance for Freelance Software Developers: 2026 Guide,,,,,none,low,n,2,"FreelancersUnion,Catch,Lettuce"
freelance-photographers,Health Insurance for Photographers: 2026 Independent Photographer Guide,,,,,none,low,n,2,"EntertainmentCommunityFund,Catch"
freelance-videographers,Health Insurance for Videographers and Video Editors: 2026 Guide,,,,,none,low,n,3,"EntertainmentCommunityFund,Catch"
remote-workers,Health Insurance for Remote Workers: 2026 Multi-State Coverage Guide,,,,,none,medium,y,1,"SafetyWing,HSAforAmerica,Cigna,Anthem"
digital-nomads,Health Insurance for Digital Nomads (US-Based): 2026 Coverage Options,,,,,none,high,n,1,"SafetyWing,NomadsEmbassy,AXAGlobal,HealthPlusLife,Cigna"
