topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources
wegovy-cost,What Does Wegovy Cost in 2026? Insurance + Manufacturer Assistance Guide,,,,1,none,high,n,1,"goodrx,manufacturer-site,medicare-bridge-program-2026"
mounjaro-cost,What Does Mounjaro Cost in 2026? Pharmacy Comparison + Patient Assistance,,,,1,none,high,n,1,"goodrx,manufacturer-site"
zepbound-cost,What Does Zepbound Cost in 2026? Coverage + GLP-1 Bridge Program,,,,1,none,high,n,1,"goodrx,medicare-bridge-program-2026"
trulicity-cost,What Does Trulicity Cost in 2026? Eli Lilly Patient Assistance Explained,,,,1,none,medium,n,1,"goodrx,manufacturer-site"
eliquis-cost,What Does Eliquis Cost in 2026? Post-Negotiation Price + Coverage,,,,1,none,high,n,1,"goodrx,cms-ira-2026-list,kff"
jardiance-cost,What Does Jardiance Cost in 2026? IRA-Negotiated Price + Assistance,,,,1,none,high,n,1,"goodrx,cms-ira-2026-list"
xarelto-cost,What Does Xarelto Cost in 2026? IRA-Negotiated Price + Bayer Assistance,,,,1,none,medium,n,1,"goodrx,cms-ira-2026-list"
januvia-cost,What Does Januvia Cost in 2026? Negotiated Price + Generic Status,,,,1,none,medium,n,1,"goodrx,cms-ira-2026-list"
farxiga-cost,What Does Farxiga Cost in 2026? Negotiated Medicare Price + Coverage,,,,1,none,medium,n,1,"goodrx,cms-ira-2026-list"
entresto-cost,What Does Entresto Cost in 2026? Heart-Failure Coverage + Patient Help,,,,1,none,medium,n,1,"goodrx,cms-ira-2026-list"
enbrel-cost,What Does Enbrel Cost in 2026? Amgen SupportPlus + Insurance,,,,1,none,medium,n,1,"goodrx,cms-ira-2026-list,manufacturer-site"
imbruvica-cost,What Does Imbruvica Cost in 2026? Cancer-Drug Coverage + Assistance,,,,1,none,low,n,1,"goodrx,cms-ira-2026-list"
stelara-cost,What Does Stelara Cost in 2026? Janssen CarePath + Biosimilar Status,,,,1,none,medium,n,1,"goodrx,cms-ira-2026-list,manufacturer-site"
fiasp-cost,What Does Fiasp Cost in 2026? Novo Nordisk $35 Insulin Cap Explained,,,,1,none,medium,n,2,"goodrx,cms-ira-2026-list,manufacturer-site"
novolog-cost,What Does NovoLog Cost in 2026? $35 Insulin Cap + Assistance,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
humira-cost,What Does Humira Cost in 2026? AbbVie Assistance + Biosimilar Switch,,,,1,none,high,n,1,"goodrx,manufacturer-site,kff"
skyrizi-cost,What Does Skyrizi Cost in 2026? AbbVie Patient Assistance Explained,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
rinvoq-cost,What Does Rinvoq Cost in 2026? AbbVie Assistance + Coverage,,,,1,none,medium,n,2,"goodrx,manufacturer-site"
biktarvy-cost,What Does Biktarvy Cost in 2026? Gilead Advancing Access Program,,,,1,none,medium,n,1,"goodrx,manufacturer-site"
