topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_queued
ACA-open-enrollment-2026,Open Enrollment 2026: ACA Marketplace Dates and What's New This Year,1490,1490,40500,,slight,high,n,1,"bing-getkeywordstats=1490broad,bing-related=5020peak,kff,healthcare.gov,competitor-landscape",n
qualifying-life-event-2026,Qualifying Life Events 2026: Every SEP That Triggers Coverage Outside Open Enrollment,490,240,12100,,none,medium,n,1,"bing-getkeywordstats=240broad,bing-related=2283,cms,healthcare.gov",y
special-enrollment-period-2026,ACA Special Enrollment Period 2026: Who Qualifies and How to Apply,398,148,8100,,none,medium,n,1,"bing-getkeywordstats=148broad,bing-related=1610,already_queued=y,cms",y
medicare-special-enrollment-period,Medicare Special Enrollment Periods 2026: Job Loss Retirement and Other Triggers,300,50,4400,,slight,medium,n,1,"bing-getkeywordstats=50broad,bing-related=549,medicare.gov",n
turning-26-by-state,Turning 26 by State: Which States Extend Parents Coverage Past Age 26 in 2026,250,,2900,,none,low,y,1,"healthinsurance.org,commonwealth-fund,state-statute-research",n
laid-off-health-insurance-2026,Laid Off? Your Health Insurance Options Explained for 2026,220,,5400,,heavy,high,n,1,"bing-related-job-loss,kff,already_queued=y,competitor-landscape",y
just-got-married-health-insurance,"Just Got Married? Health Insurance Options, SEP Window, and Next Steps 2026",200,1372,3600,,slight,medium,n,1,"bing-related=1372,already_queued=y,healthcare.gov",y
having-a-baby-health-insurance,Having a Baby? How to Add a Newborn to Your Health Insurance in 2026,200,539,3600,,none,medium,n,1,"bing-related=539-birth+289-pregnancy,already_queued=y,competitor-landscape",y
moving-to-new-state-insurance-2026,Moving to a New State? How to Switch Health Insurance Coverage in 2026,180,,2900,,slight,medium,n,1,"healthinsurance.org,already_queued=y,competitor-landscape",y
divorce-health-insurance-2026,Health Insurance After Divorce: Your Options and Next Steps 2026,180,,2400,,slight,medium,n,1,"bing-related-divorce-100kws,already_queued=y,competitor-landscape",y
COBRA-vs-marketplace-2026,COBRA vs Marketplace 2026: Cost Comparison Tool After Job Loss,170,,4400,,slight,medium,n,1,"bing-related=2224-cobra-health-insurance,competitor-landscape,healthcare.gov",n
medicare-part-b-when-retiring,How to Apply for Medicare Part B When You Retire: Step-by-Step 2026,165,,2400,,slight,medium,n,1,"medicare.gov,already_queued=y,kff",y
lost-medicaid-redetermination-2026,Lost Medicaid? Your Options After Redetermination in 2026,160,22,4400,,slight,medium,n,1,"bing-getkeywordstats=22,kff-unwinding-data,healthcare.gov",n
turning-26-step-by-step-2026,Turning 26: Step-by-Step Guide to Transitioning Off Parent's Insurance in 2026,150,,2400,,none,medium,n,1,"goodrx,healthinsurance.org,already_queued=y",y
ACA-subsidy-cliff-2026,ACA Subsidy Cliff 2026: What Happens When Enhanced Subsidies Expire,140,,1900,,slight,medium,n,1,"kff,competitor-landscape-2026-subsidy-cliff,brookings",n
medicaid-pregnant-women-2026,Medicaid for Pregnant Women: 2026 Income Limits by State,140,,3600,,slight,high,y,1,"already_queued=y,kff,medicaid.gov",y
turning-65-while-working,Turning 65 While Still Working: Do You Need to Sign Up for Medicare?,135,456,2400,,slight,medium,n,1,"bing-related=456,already_queued=y,medicare.gov",y
divorce-health-insurance-qa,Health Insurance After Divorce: Who Keeps Coverage in 2026 Q&A,130,,1900,,slight,medium,n,2,"already_queued=y,competitor-landscape",y
graduated-college-health-insurance-2026,Graduated College? Health Insurance Options for New Grads 2026,120,,2400,,none,low,n,1,"bing-related-graduate-100kws,goodrx-personas,stride",n
just-lost-job-state,"Just Lost Your Job in [State]? Health Insurance Options for 2026",120,,1600,,heavy,medium,y,1,"already_queued=base-page,kff-state-data",y
ACA-OEP-deadline-2026,ACA Open Enrollment Deadline 2026: Last Day to Enroll for January 1 Coverage,115,,2400,,slight,medium,n,1,"healthcare.gov,competitor-landscape",n
missed-open-enrollment-2026,Missed Open Enrollment 2026? Your Options When Marketplace Coverage Is Closed,110,,1600,,slight,medium,n,1,"bing-related=100-kws,healthcare.gov",n
adoption-add-child-insurance,Adopting a Child: How to Add a Dependent to Your Health Plan in 2026,100,,1600,,none,low,n,1,"healthcare.gov-SEP-list,competitor-landscape",n
domestic-partner-health-insurance,Adding a Domestic Partner to Your Health Insurance in 2026,95,,1300,,none,low,n,2,"healthcare.gov-SEP-list,carrier-policies",n
foster-child-health-insurance,Becoming a Foster Parent: Adding a Foster Child to Your Health Plan 2026,85,,720,,none,low,n,2,"healthcare.gov,medicaid.gov",n
spouse-died-health-insurance,Spouse Died: Your Health Insurance Options After Losing a Partner in 2026,85,,1300,,slight,medium,n,1,"bing-related-widow-100kws,healthcare.gov,competitor-landscape",n
retired-early-health-insurance,Retired Early? Health Insurance Options Before Medicare in 2026,80,,1900,,slight,medium,n,1,"bing-related-retired-100kws,kff,boomer-benefits",n
new-job-coverage-gap,Starting a New Job? Bridging the Health Insurance Coverage Gap in 2026,80,,1300,,slight,low,n,2,"bing-related-new-job-100kws,competitor-landscape",n
medicare-general-enrollment-period-2026,Medicare General Enrollment Period 2026: When and How to Use It,75,,1000,,slight,medium,n,2,"medicare.gov,boomer-benefits",n
medicare-initial-enrollment-period-2026,Medicare Initial Enrollment Period 2026: The 7-Month Window Explained,75,,1300,,slight,medium,n,1,"medicare.gov,competitor-landscape",n
medicaid-unwinding-2026,Medicaid Unwinding 2026: What to Do If You Lost Coverage in the Last 12 Months,75,,1000,,slight,medium,n,2,"kff,medicaid.gov",n
ACA-premium-shock-renewal-2026,ACA Renewal Shock 2026: What to Do If Your Marketplace Premium Doubled,75,17,720,,none,low,n,2,"bing-getkeywordstats=17,kff-premium-data",n
just-had-twins-multiples,Just Had Twins? Health Insurance and Newborn Enrollment for Multiples 2026,70,,480,,none,low,n,3,"healthcare.gov-SEP,competitor-landscape",n
SEP-immigration-status-change,SEP for Gaining U.S. Citizenship or Lawful Status: Health Coverage Options 2026,70,,720,,none,low,n,2,"cms-sep-job-aid,healthcare.gov",n
released-from-incarceration,Released From Incarceration: Health Insurance Enrollment Options 2026,70,,720,,none,low,n,2,"cms-sep,kff,medicaid-reentry",n
gained-citizenship-health-insurance,Gaining U.S. Citizenship: How to Enroll in Health Coverage in 2026,65,,480,,none,low,n,2,"cms-sep,healthcare.gov",n
ACA-income-change-SEP,ACA SEP for Household Income Change: When Subsidy Changes Trigger Re-Enrollment,65,,880,,slight,low,n,2,"healthcare.gov-sep,cms-job-aid",n
marketplace-SEP-window-60-days,Marketplace SEP 60-Day Window: How Long You Have After a Life Event in 2026,60,,720,,slight,low,n,2,"healthcare.gov,cms-sep-toolkit",n
death-of-policyholder-coverage,Death of the Policyholder: What Happens to Dependent Health Insurance 2026,60,,480,,slight,low,n,3,"healthcare.gov-SEP,competitor-landscape",n
medicaid-aging-out-19,Medicaid Aging Out at 19: What Happens When Your Child Loses Pediatric Coverage,55,,720,,none,low,n,3,"medicaid.gov,kff",n
becoming-a-caregiver-health-insurance,Becoming a Caregiver: Health Insurance Options When You Leave Work to Care for a Parent,55,,720,,slight,low,n,2,"already_queued=y,kff-caregivers",y
ssdi-medicare-24-month-wait,SSDI Medicare 24-Month Waiting Period: What to Do for Health Coverage in the Gap,55,,1000,,slight,low,n,2,"medicare.gov,ssa-ssdi-policy,kff",n
ESRD-medicare-enrollment,ESRD and Medicare: Immediate Enrollment Rules for Dialysis Patients 2026,50,,720,,none,low,n,2,"medicare.gov,esrd-network,competitor-landscape",n
turning-26-NY-age-29,Turning 26 in New York: How the Age 29 Law Extends Parent's Insurance,50,,480,,none,low,y,1,"nys-dfs-age-29-faq,state-extension-research",n
turning-26-NJ-DU31,Turning 26 in New Jersey: DU31 Dependent Coverage Until Age 31,50,,320,,none,low,y,1,"nj-dobi-du31-policy,acnj,state-extension-research",n
turning-26-FL-extension,Turning 26 in Florida: When You Can Stay on Parent's Insurance Past 26,45,,320,,none,low,y,1,"fl-statute-627.6562,state-extension-research",n
turning-26-WI-PA-IL-extensions,State Dependent-Coverage Laws Beyond Age 26 (WI IL PA SC and More),45,,260,,none,low,y,2,"hub-international-state-summary,state-extension-research",n
SEP-survivor-domestic-abuse,SEP for Survivors of Domestic Abuse: Enroll in Your Own Health Plan in 2026,40,,260,,none,low,n,2,"healthcare.gov-sep-list,cms-job-aid",n
COBRA-end-SEP-2026,COBRA Ending Soon? SEP Trigger and Marketplace Alternative for 2026,40,,720,,slight,low,n,2,"healthcare.gov-sep,competitor-landscape",n
SEP-natural-disaster-2026,SEP for Natural Disaster Victims: How to Enroll After Hurricanes Wildfires Floods 2026,35,,320,,none,low,n,3,"cms-disaster-sep,fema",n
SEP-error-or-misconduct,SEP for Marketplace Enrollment Error or Plan Display Error: 2026 Appeals Process,35,,260,,none,low,n,3,"cms-sep-complex-issues,healthcare.gov-sep-list",n
becoming-dependent-court-order,Court Order Adding You as a Dependent: Health Coverage SEP 2026,30,,260,,none,low,n,3,"cms-sep-toolkit,healthcare.gov",n
medicare-working-after-65-cobra,On COBRA After 65? Do You Still Need to Sign Up for Medicare Part B,30,,1300,,slight,medium,n,1,"already_queued=y,medicare.gov,boomer-benefits",y
just-aged-out-chip,Aged Out of CHIP? Next Steps When Your Child Loses CHIP Coverage 2026,30,,260,,slight,low,n,2,"medicaid.gov,kff",n
became-disabled-health-insurance,Became Disabled? Health Insurance Options and Medicare Eligibility 2026,30,,1000,,slight,medium,n,2,"medicare.gov-disability,competitor-landscape",n
small-business-lost-coverage,Small Business Closed or Stopped Offering Coverage: Your Marketplace Options 2026,25,,210,,none,low,n,3,"shop-marketplace,cms-sep",n
medicaid-moving-states,Moving States While on Medicaid: How to Re-Enroll in Your New State 2026,25,,720,,slight,low,y,2,"medicaid.gov,already_queued=base,kff",n
returning-from-abroad-health-insurance,Returning to the US From Abroad: Health Insurance Enrollment SEP 2026,25,,170,,slight,low,n,3,"healthcare.gov-sep,bing-related",n
