topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,medicare_enrollment_state,ma_penetration_state,busa_overlap,competitor_density,state_specific,priority,sources
georgia,Medicare Advantage Plans in Georgia 2026,9200,1500,8100,1750000,0.55,none,high,y,1,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,Bing-GetRelatedKeywords-medicare-advantage-2026,competitor-landscape.md-section-7"
north-carolina,Medicare Advantage Plans in North Carolina 2026,9100,1450,8100,2050000,0.55,none,high,y,1,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,competitor-landscape.md-section-7"
arizona,Medicare Advantage Plans in Arizona 2026,8800,1400,6600,1450000,0.55,none,high,y,1,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,competitor-landscape.md-section-7,Spanish-opportunity-Latino-pop"
virginia,Medicare Advantage Plans in Virginia 2026,7300,1100,5400,1500000,0.43,none,high,y,1,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
new-jersey,Medicare Advantage Plans in New Jersey 2026,8000,1300,5400,1550000,0.49,none,high,y,1,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,Spanish-opportunity"
illinois,Medicare Advantage Plans in Illinois 2026,7900,1300,6600,2050000,0.41,none,high,y,1,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,Spanish-opportunity"
massachusetts,Medicare Advantage Plans in Massachusetts 2026,6900,1100,4400,1300000,0.40,none,high,y,1,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
tennessee,Medicare Advantage Plans in Tennessee 2026,8100,1250,5400,1340000,0.59,none,high,y,1,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,TennCare-state-brand"
washington,Medicare Advantage Plans in Washington 2026,6800,1050,4400,1420000,0.42,none,high,y,1,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
oregon,Medicare Advantage Plans in Oregon 2026,6700,950,3600,830000,0.55,none,high,y,1,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,OHP-state-brand"
indiana,Medicare Advantage Plans in Indiana 2026,6300,950,4400,1320000,0.46,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,HIP-state-brand"
missouri,Medicare Advantage Plans in Missouri 2026,6200,900,4400,1280000,0.46,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
maryland,Medicare Advantage Plans in Maryland 2026,5400,800,3600,1080000,0.35,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
wisconsin,Medicare Advantage Plans in Wisconsin 2026,6700,1000,4400,1240000,0.50,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,BadgerCare-state-brand"
south-carolina,Medicare Advantage Plans in South Carolina 2026,6300,900,3600,1180000,0.49,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
minnesota,Medicare Advantage Plans in Minnesota 2026,6600,950,4400,1100000,0.55,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,MNsure-state-brand"
connecticut,Medicare Advantage Plans in Connecticut 2026,5900,850,3600,680000,0.51,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
kentucky,Medicare Advantage Plans in Kentucky 2026,6000,850,3600,950000,0.51,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
louisiana,Medicare Advantage Plans in Louisiana 2026,5800,800,3600,890000,0.53,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
alabama,Medicare Advantage Plans in Alabama 2026,6100,900,3600,1130000,0.55,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
colorado,Medicare Advantage Plans in Colorado 2026,5500,800,3600,1010000,0.45,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,CHP+-state-brand,Spanish-opportunity"
arkansas,Medicare Advantage Plans in Arkansas 2026,4500,650,2400,690000,0.47,none,high,y,2,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,ARHOME-state-brand"
nevada,Medicare Advantage Plans in Nevada 2026,4400,650,2400,610000,0.50,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,Spanish-opportunity"
iowa,Medicare Advantage Plans in Iowa 2026,4400,650,2400,650000,0.43,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
kansas,Medicare Advantage Plans in Kansas 2026,3800,550,1900,540000,0.43,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
nebraska,Medicare Advantage Plans in Nebraska 2026,3200,450,1600,360000,0.43,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
utah,Medicare Advantage Plans in Utah 2026,3600,500,1900,440000,0.43,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
new-mexico,Medicare Advantage Plans in New Mexico 2026,3500,500,1600,470000,0.49,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,Spanish-opportunity"
mississippi,Medicare Advantage Plans in Mississippi 2026,4000,550,1900,640000,0.50,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
oklahoma,Medicare Advantage Plans in Oklahoma 2026,4200,600,2400,790000,0.43,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024,SoonerCare-state-brand"
idaho,Medicare Advantage Plans in Idaho 2026,3700,500,1600,400000,0.51,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
new-hampshire,Medicare Advantage Plans in New Hampshire 2026,2900,400,1300,320000,0.39,none,high,y,3,"CMS-MA-state-enrollment-2024,KFF-MA-penetration-2024"
