topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,notes
mri-cost,"MRI Cost Without Insurance in 2026: National Pricing Guide",,,,,none,medium,n,1,"goodrx,kff,cms,bing-stats,clincalc",y,n,"shipped"
ct-scan-cost,"CT Scan Cost Without Insurance in 2026: National Pricing Guide",,,,,none,medium,n,1,"goodrx,kff,cms,bing-stats,clincalc",y,n,"shipped"
colonoscopy-cost,"Colonoscopy Cost Without Insurance in 2026: National Pricing Guide",,,,,none,medium,n,1,"goodrx,kff,cms,bing-stats,clincalc",y,n,"shipped"
lasik-cost,"LASIK Eye Surgery Cost in 2026: National Pricing Guide",23866,5966,extrapolated-bingx6,95,none,high,n,2,"bing-stats,bing-related(7),clincalc,goodrx,lasikplus,obvious-50",n,n,"critique: P1->P2 brutal competitive field"
cataract-surgery-cost,"Cataract Surgery Cost Without Insurance in 2026 (CPT 66984)",12730,3176,extrapolated-bingx6,14,none,high,n,1,"bing-stats,bing-related(6),clincalc,goodrx,kff,obvious-50",n,y,"already_queued"
eye-exam-cost,"Eye Exam Cost Without Insurance in 2026: National Pricing Guide",4939,1230,extrapolated-bingx6,37,none,medium,n,1,"bing-stats,bing-related(4),clincalc,goodrx,obvious-50",n,n,
ivf-cost,"IVF Cost Without Insurance in 2026: National Pricing Guide",2735,680,extrapolated-bingx6,50,none,high,y,2,"bing-stats,clincalc,fertilityiq,resolve,obvious-50",n,n,"critique: P1->P2 brutal field; state_specific=y (~21 states mandate)"
dexa-scan-cost,"DEXA Bone Density Scan Cost Without Insurance in 2026: National Pricing Guide",1777,440,extrapolated-bingx6,45,none,medium,n,1,"bing-stats,clincalc,goodrx,obvious-50",n,n,
wisdom-teeth-removal-cost,"Wisdom Teeth Removal Cost Without Insurance in 2026: National Pricing Guide",1593,392,extrapolated-bingx6,18,none,high,n,1,"bing-stats,bing-related(1),clincalc,goodrx,carecredit,obvious-50",n,n,
cologuard-cost,"Cologuard Cost Without Insurance in 2026: Stool DNA Test Pricing Guide",1230,304,extrapolated-bingx6,55,none,medium,n,1,"bing-stats,clincalc",n,n,
vasectomy-cost,"Vasectomy Cost Without Insurance in 2026: National Pricing Guide",1139,280,extrapolated-bingx6,36,none,medium,n,1,"bing-stats,bing-related(1),clincalc,goodrx,plannedparenthood,obvious-50",n,n,
ambulance-cost,"Ambulance Ride Cost Without Insurance in 2026: Ground & Air Pricing Guide",1131,277,extrapolated-bingx6,23,slight,medium,n,1,"bing-stats,bing-related(1),clincalc,kff,goodrx,obvious-50",n,n,"critique: BUSA slight overlap (bill-help vs price-lookup)"
knee-replacement-cost,"Knee Replacement Cost Without Insurance in 2026 (CPT 27447)",1023,249,extrapolated-bingx6,9,none,high,n,1,"bing-stats,bing-related(3),clincalc,goodrx,kff,cms,obvious-50",n,y,"already_queued"
urgent-care-cost,"Urgent Care Visit Cost Without Insurance in 2026: National Pricing Guide",923,224,extrapolated-bingx6,10,none,medium,n,1,"bing-stats,clincalc,goodrx,nerdwallet,obvious-50",n,y,"already_queued"
echocardiogram-cost,"Echocardiogram Cost Without Insurance in 2026 (CPT 93306)",821,200,extrapolated-bingx6,30,none,medium,n,1,"bing-stats,bing-related(1),clincalc,goodrx,cms,obvious-50",n,y,"already_queued"
pet-scan-cost,"PET Scan Cost Without Insurance in 2026: National Pricing Guide",751,184,extrapolated-bingx6,50,none,medium,n,2,"bing-stats,clincalc,goodrx,obvious-50",n,n,
hysterectomy-cost,"Hysterectomy Cost Without Insurance in 2026: National Pricing Guide",726,176,extrapolated-bingx6,28,none,medium,n,2,"bing-stats,clincalc,goodrx,cms,obvious-50",n,n,
flu-shot-cost,"Flu Shot Cost Without Insurance in 2026: Pharmacy & Clinic Pricing Guide",695,168,extrapolated-bingx6,22,none,medium,n,2,"bing-stats,clincalc,goodrx,cdc,obvious-50",n,n,
eeg-cost,"EEG Cost Without Insurance in 2026: Electroencephalogram Pricing Guide",683,168,extrapolated-bingx6,64,none,low,n,2,"bing-stats,clincalc",n,n,
sleep-study-cost,"Sleep Study Cost Without Insurance in 2026: In-Lab & Home Pricing Guide",657,160,extrapolated-bingx6,44,none,medium,n,2,"bing-stats,bing-related(1),clincalc,goodrx,obvious-50",n,n,
blood-test-cost,"Blood Test Cost Without Insurance in 2026: CBC, CMP & Lipid Panel Pricing Guide",606,144,extrapolated-bingx6,1,none,medium,n,2,"bing-stats,bing-related(1),clincalc,labcorp,quest,obvious-50",n,n,
mammogram-cost,"Mammogram Cost Without Insurance in 2026: Screening vs Diagnostic Pricing Guide",602,144,extrapolated-bingx6,15,none,high,n,1,"bing-stats,clincalc,goodrx,kff,cms,obvious-50",n,y,"already_queued; critique: P2->P1 screening-vs-diagnostic fork"
ultrasound-cost,"Ultrasound Cost Without Insurance in 2026: National Pricing Guide",572,136,extrapolated-bingx6,7,none,medium,n,1,"bing-stats,clincalc,goodrx,kff,cms,obvious-50",n,y,"already_queued; critique: P2->P1"
rhinoplasty-cost,"Rhinoplasty Cost in 2026: Medical vs Cosmetic National Pricing Guide",549,136,extrapolated-bingx6,83,none,medium,n,2,"bing-stats,clincalc",n,n,
bariatric-surgery-cost,"Bariatric Surgery Cost Without Insurance in 2026: Weight Loss Surgery Pricing Guide",525,128,extrapolated-bingx6,58,none,high,n,2,"bing-stats,clincalc,goodrx,obvious-50",n,n,
dental-cleaning-cost,"Dental Cleaning Cost Without Insurance in 2026: National Pricing Guide",501,120,extrapolated-bingx6,31,none,medium,n,1,"bing-stats,clincalc,goodrx,carecredit,guardian,delta-dental,humana,obvious-50",n,n,"critique: P2->P1 thin field, classic Bing-citable lookup"
carpal-tunnel-surgery-cost,"Carpal Tunnel Surgery Cost Without Insurance in 2026: National Pricing Guide",457,112,extrapolated-bingx6,70,none,medium,n,2,"bing-stats,clincalc",n,n,
chemotherapy-cost,"Chemotherapy Cost Without Insurance in 2026: Per-Cycle National Pricing Guide",438,104,extrapolated-bingx6,26,none,medium,n,2,"bing-stats,clincalc,goodrx,kff,obvious-50",n,n,
hernia-surgery-cost,"Hernia Repair Surgery Cost Without Insurance in 2026: National Pricing Guide",436,104,extrapolated-bingx6,32,none,medium,n,2,"bing-stats,clincalc,goodrx,cms,obvious-50",n,n,
iui-cost,"IUI Cost Without Insurance in 2026: Intrauterine Insemination Pricing Guide",422,104,extrapolated-bingx6,80,none,medium,n,2,"bing-stats,clincalc",n,n,
endoscopy-cost,"Endoscopy Cost Without Insurance in 2026: National Pricing Guide",408,96,extrapolated-bingx6,20,none,medium,n,2,"bing-stats,clincalc",n,n,
hip-replacement-cost,"Hip Replacement Cost Without Insurance in 2026 (CPT 27130)",345,80,extrapolated-bingx6,17,none,high,n,2,"bing-stats,clincalc,goodrx,kff,cms,obvious-50",n,y,"already_queued"
mole-removal-cost,"Mole Removal Cost Without Insurance in 2026: National Pricing Guide",270,64,extrapolated-bingx6,54,none,medium,n,2,"bing-stats,clincalc,goodrx,obvious-50",n,n,
liver-transplant-cost,"Liver Transplant Cost Without Insurance in 2026: National Pricing Guide",193,48,extrapolated-bingx6,96,none,medium,n,3,"bing-stats,clincalc,medicare,unos,kff",n,n,
kidney-transplant-cost,"Kidney Transplant Cost Without Insurance in 2026: National Pricing Guide",66,16,extrapolated-bingx6,95,none,medium,n,3,"bing-stats,clincalc,medicare,unos,kff",n,n,
pap-smear-cost,"Pap Smear Cost Without Insurance in 2026: National Pricing Guide",53,8,extrapolated-bingx6,29,none,medium,n,2,"bing-stats,clincalc,goodrx,plannedparenthood,obvious-50",n,n,
upper-endoscopy-cost,"Upper Endoscopy (EGD) Cost Without Insurance in 2026 (CPT 43239)",23,0,0,22,none,medium,n,1,"clincalc,goodrx,colonoscopyassist,cms,obvious-50",n,y,"already_queued; critique: P3->P1"
physical-therapy-cost,"Physical Therapy Cost Per Session in 2026 (CPT 97110/97530)",26,0,0,13,none,medium,n,1,"clincalc,goodrx,cms,obvious-50",n,y,"already_queued; critique: P3->P1"
er-visit-cost,"ER Visit Cost Without Insurance in 2026: CPT 99281-99285 Pricing Guide",29,0,0,2,slight,medium,n,1,"clincalc,goodrx,kff,cms,obvious-50",n,y,"already_queued; critique: BUSA slight overlap; keep 5-level CPT fork"
hospital-stay-cost,"Hospital Stay Cost Per Day in 2026: Inpatient Pricing by State & Service",30,0,0,1,slight,medium,n,1,"clincalc,kff,nerdwallet,obvious-50",n,n,"critique: P3->P1 query fragmentation; BUSA slight overlap"
c-section-cost,"C-Section Cost Without Insurance in 2026 (CPT 59510)",28,0,0,8,none,medium,n,1,"clincalc,goodrx,kff,obvious-50",n,y,"already_queued; critique: P3->P1 query fragmentation hid 1.16M procedures/yr"
vaginal-delivery-cost,"Vaginal Delivery Cost Without Insurance in 2026 (CPT 59400)",27,0,0,11,none,medium,n,1,"clincalc,goodrx,kff,obvious-50",n,y,"already_queued; critique: P3->P1"
hospital-birth-cost,"Hospital Birth Cost Without Insurance in 2026: Vaginal & C-Section Combined Pricing Guide",28,0,0,8,slight,medium,n,2,"clincalc,kff,goodrx",n,n,"critique: P3->P2; BUSA slight overlap"
nicu-stay-cost,"NICU Cost Per Day in 2026: Neonatal ICU Hospital Pricing Guide",10,0,0,68,slight,medium,n,2,"clincalc,goodrx,kff,obvious-50",n,y,"already_queued; critique: P3->P2; BUSA slight overlap"
telehealth-visit-cost,"Telehealth Visit Cost Without Insurance in 2026: National Pricing Guide",24,0,0,20,none,low,n,2,"clincalc,goodrx,obvious-50",n,n,"critique: P3->P2 (17% of outpatient visits per CMS)"
lab-test-cost,"Lab Test Cost Without Insurance in 2026: Quest, LabCorp & Hospital Pricing Guide",30,0,0,1,none,medium,n,3,"clincalc,labcorp,quest",n,n,
