topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources
mammogram,Mammogram Cost Without Insurance in 2026 (Screening vs Diagnostic),,,,,none,medium,n,1,"goodrx,kff,cms,already_queued=y,obvious-50"
x-ray,X-Ray Cost Without Insurance in 2026 by Body Part,,,,,none,medium,n,1,"goodrx,singlecare,cms,already_queued=y,obvious-50"
ultrasound,Ultrasound Cost Without Insurance in 2026 by Type,,,,,none,medium,n,1,"goodrx,kff,cms,already_queued=y,obvious-50"
echocardiogram,Echocardiogram Cost Without Insurance in 2026 (CPT 93306),,,,,none,low,n,1,"goodrx,cms,csv-overlap=y,already_queued=y,obvious-50"
emergency-room-visit,ER Visit Cost Without Insurance in 2026 by Severity Level (CPT 99281-99285),,,,,none,medium,n,1,"goodrx,kff,cms,csv-overlap=y,already_queued=y,obvious-50"
urgent-care-visit,Urgent Care Visit Cost Without Insurance in 2026,,,,,none,low,n,1,"goodrx,nerdwallet,cms,already_queued=y,obvious-50"
physical-therapy,Physical Therapy Cost Per Session Without Insurance in 2026 (CPT 97110/97530),,,,,none,medium,n,1,"goodrx,cms,csv-overlap=y,already_queued=y,obvious-50"
upper-endoscopy,Upper Endoscopy (EGD) Cost Without Insurance in 2026 (CPT 43239),,,,,none,medium,n,1,"goodrx,colonoscopyassist,cms,csv-overlap=y,already_queued=y,obvious-50"
therapy-session-cost,Therapy Session Cost Without Insurance in 2026,,,,,none,low,n,1,"goodrx,obvious-50"
psychiatric-evaluation-cost,Psychiatric Evaluation Cost Without Insurance in 2026,,,,,none,low,n,1,"goodrx,obvious-50"
dental-cleaning,Dental Cleaning Cost Without Insurance in 2026,,,,,none,medium,n,1,"goodrx,carecredit,guardian,delta-dental,humana,obvious-50"
dental-filling,Dental Filling Cost Without Insurance in 2026,,,,,none,medium,n,1,"goodrx,carecredit,guardian,obvious-50"
root-canal,Root Canal Cost Without Insurance in 2026,,,,,none,medium,n,1,"goodrx,carecredit,guardian,obvious-50"
dental-crown,Dental Crown Cost Without Insurance in 2026,,,,,none,medium,n,1,"goodrx,carecredit,guardian,obvious-50"
dental-extraction,Tooth Extraction Cost Without Insurance in 2026,,,,,none,medium,n,1,"goodrx,carecredit,guardian,obvious-50"
wisdom-teeth-removal,Wisdom Teeth Removal Cost Without Insurance in 2026,,,,,none,medium,n,1,"goodrx,carecredit,obvious-50"
std-test,STD Test Cost Without Insurance in 2026,,,,,none,low,n,1,"goodrx,plannedparenthood,obvious-50"
blood-work,Blood Work Cost Without Insurance in 2026 (CBC + Lipid + Comprehensive Panel),,,,,none,medium,n,1,"goodrx,labcorp,quest,obvious-50"
lipid-panel,Lipid Panel (Cholesterol Test) Cost Without Insurance in 2026,,,,,none,low,n,1,"goodrx,labcorp,quest,obvious-50"
a1c-test,A1C Test Cost Without Insurance in 2026,,,,,none,low,n,1,"goodrx,labcorp,obvious-50"
cbc-test,Complete Blood Count (CBC) Test Cost Without Insurance in 2026,,,,,none,low,n,2,"labcorp,quest,obvious-50"
thyroid-test,Thyroid Function Test (TSH) Cost Without Insurance in 2026,,,,,none,low,n,2,"goodrx,labcorp,obvious-50"
vitamin-d-test,Vitamin D Test Cost Without Insurance in 2026,,,,,none,low,n,2,"labcorp,obvious-50"
prostate-psa-test,Prostate PSA Test Cost Without Insurance in 2026,,,,,none,low,n,1,"goodrx,obvious-50"
pap-smear,Pap Smear Cost Without Insurance in 2026,,,,,none,medium,n,2,"goodrx,plannedparenthood,obvious-50"
