topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,subtype,notes
state-medicaid-income-limits,[State] Medicaid Income Limits 2026 (scales 51x — one page per state),9500,1080,12000,1,heavy,medium,y,1,"Bing-GetRelatedKeywords-medicaid,FANOUT-real-Bing-1079-cites-texas-medicaid-income-limits-2026,BUSA-50-state-overlap,intent-split-eligibility-vs-application",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/[state]. URL-as-query doctrine (FANOUT §5.1). 51-page factory."
state-medicaid-eligibility,[State] Medicaid Eligibility 2026: Who Qualifies (scales 51x — one page per state),8200,950,9000,2,heavy,medium,y,1,"Bing-GetRelatedKeywords-medicaid,Bing-medicaid-eligibility-17730s,BUSA-50-state-overlap-shopping-intent-split,FANOUT-4.4",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/[state]. Same intent surface as income-limits."
state-medi-cal-income-limits,California Medi-Cal Income Limits 2026 (state-brand variant of CA Medicaid),5800,520,4400,1,slight,medium,y,1,"Bing-medi-cal-52377-broad-11592-strict,FANOUT-state-brand-rule,already-CU-109-queued",n,y,qa-state-eligibility,"Reroute to Track D. Brand variant of CA Medicaid income-limits. Already-queued CU-109 supersedes."
state-ahcccs-income-limits,Arizona AHCCCS Income Limits 2026 (state-brand variant of AZ Medicaid),8000,720,6400,1,slight,medium,y,1,"Bing-ahcccs-90165-broad-23895-strict,FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D. AHCCCS is #1 state-brand Bing volume (90,165 broad / 23,895 strict per critique §4). Track D priority."
state-mnsure-income-limits,Minnesota MNsure / Medicaid Income Limits 2026 (state-brand variant),1100,90,720,2,slight,low,y,2,"Bing-mnsure-real-Bing-269cites,FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/minnesota."
state-soonercare-income-limits,Oklahoma SoonerCare Income Limits 2026 (state-brand variant of OK Medicaid),900,75,600,2,slight,low,y,2,"Bing-soonercare-real-Bing-262cites,FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/oklahoma."
state-mainecare-income-limits,Maine MaineCare Income Limits 2026 (state-brand variant of ME Medicaid),700,55,480,2,slight,low,y,2,"Bing-mainecare-real-Bing-155cites,FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/maine."
state-badgercare-income-limits,Wisconsin BadgerCare Income Limits 2026 (state-brand variant of WI Medicaid),650,50,480,2,slight,low,y,2,"Bing-badgercare-real-Bing-96cites,FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/wisconsin."
state-husky-income-limits,Connecticut HUSKY Income Limits 2026 (state-brand variant of CT Medicaid),550,45,360,2,slight,low,y,2,"Bing-husky-brand-mention,FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/connecticut."
state-tenncare-income-limits,Tennessee TennCare Income Limits 2026 (state-brand variant of TN Medicaid),520,42,360,2,slight,low,y,2,"FANOUT-state-brand-rule,competitor-landscape-7",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/tennessee."
state-arhome-income-limits,Arkansas ARHOME Income Limits 2026 (state-brand variant of AR Medicaid),480,40,300,2,slight,low,y,2,"FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/arkansas."
state-masshealth-income-limits,Massachusetts MassHealth Income Limits 2026 (state-brand variant),620,52,400,2,slight,low,y,2,"FANOUT-state-brand-rule",n,n,qa-state-eligibility,"Reroute to Track D /medicaid-income-limits/massachusetts."
