topic,title_hint,priority_index,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,notes
ozempic-cost,"Ozempic Cost in 2026: Without Insurance, With Medicare, and Assistance Options",925,320,40500,17,none,high,n,SHIPPED,bing|clincalc|ira-2027|goodrx-catalog,y,n,Already live — DO NOT WRITE
metformin-cost,"Metformin Cost in 2026: Generic, Brand, and Programs",160,30,9900,2,none,high,n,SHIPPED,bing|clincalc|goodrx-catalog,y,n,Already live — DO NOT WRITE
insulin-cost,Insulin Cost at the Hospital in 2026,150,31,12100,21,none,high,n,SHIPPED,bing|clincalc|goodrx-catalog,y,n,Already live — DO NOT WRITE
wegovy-cost,"Wegovy Cost in 2026: Without Insurance, NovoCare Self-Pay, Manufacturer Assistance",1100,404,40500,71,none,high,n,1,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Highest-volume GLP-1 cost query not yet shipped
mounjaro-cost,"Mounjaro Cost in 2026: Savings Card, Medicare Coverage, Pharmacy Comparison",600,834,33100,84,none,high,n,1,bing|clincalc|goodrx-catalog|manufacturer-site,n,n,Demand-score corrected per critique #1 (mounjaro savings card broad-match inflated A)
zepbound-cost,"Zepbound Cost in 2026: LillyDirect Self-Pay, Insurance, and GLP-1 Bridge",850,500,27100,142,none,high,n,1,bing|clincalc|goodrx-catalog|medicare-bridge-program-2026,n,n,LillyDirect vial pricing angle
eliquis-cost,"Eliquis Cost in 2026: IRA Negotiated Price, Generic Status, Patient Assistance",820,149,40500,30,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog|kff,n,n,IRA Round 1 — Maximum Fair Price effective Jan 2026
jardiance-cost,"Jardiance Cost in 2026: IRA Negotiated Price, Empagliflozin Generic Status",720,93,18100,43,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,n,n,IRA Round 1 — bigger % savings than Eliquis (66% vs 56%); tied at priority-1
xarelto-cost,Xarelto Cost in 2026: IRA Maximum Fair Price and Bayer Patient Assistance,640,41,12100,55,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,n,n,IRA Round 1 — year-anchored
januvia-cost,Januvia Cost in 2026: IRA Negotiated Price and Sitagliptin Generic,580,28,9900,68,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,n,n,IRA Round 1 — generic sitagliptin available 2022
farxiga-cost,Farxiga Cost in 2026: IRA Maximum Fair Price and Dapagliflozin Generic Status,720,62,14800,98,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,n,n,IRA Round 1 — dapagliflozin generic launching 2025-2026
entresto-cost,Entresto Cost in 2026: IRA Maximum Fair Price and Sacubitril Generic Timing,560,33,8100,118,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,n,n,IRA Round 1 — first generic delayed multiple times
imbruvica-cost,Imbruvica Cost in 2026: IRA Maximum Fair Price for CLL Patients,420,15,4400,N/A,none,medium,n,1,bing|clincalc|ira-2026,n,n,IRA Round 1 — specialty oncology
stelara-cost,Stelara Cost in 2026: IRA Maximum Fair Price and Biosimilar Wezlana Launch,540,20,8100,N/A,none,medium,n,1,bing|clincalc|ira-2026|goodrx-catalog,n,n,IRA Round 1 + Wezlana biosimilar — strong news anchor
enbrel-cost,Enbrel Cost in 2026: IRA Negotiated Price and Etanercept Biosimilar Timeline,420,24,8100,N/A,none,medium,n,1,bing|clincalc|ira-2026|goodrx-catalog|manufacturer-site,n,n,IRA Round 1 — biosimilars delayed by patent litigation
novolog-cost,NovoLog Cost in 2026: IRA Negotiated Insulin Aspart Pricing and $35 Cap,230,N/A,4400,75,none,medium,n,1,bing|clincalc|ira-2026|manufacturer-site,n,n,IRA Round 1 — grouped with Fiasp
fiasp-cost,Fiasp Cost in 2026: IRA Negotiated Insulin and Novo Nordisk $35 Cap,380,21,2900,75,none,medium,n,2,bing|clincalc|ira-2026|manufacturer-site,n,n,IRA Round 1 — companion to NovoLog
xtandi-cost,Xtandi Cost in 2026: IRA Round 2 Anchor for 2027 Maximum Fair Price (Prostate Cancer),200,N/A,2400,N/A,none,low,n,1,bing|cms|ira-2027|goodrx-catalog,n,n,IRA Round 2 — 2027 effective MFP forward anchor
