topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources
lasik-cost,"LASIK Eye Surgery Cost in 2026: National Pricing Guide",23866,5966,35796,95,none,high,n,1,"bing-stats,bing-related(7),clincalc"
cataract-surgery-cost,"Cataract Surgery Cost Without Insurance in 2026: National Pricing Guide",12730,3176,19056,14,none,high,n,1,"bing-stats,bing-related(6),clincalc,already_queued"
eye-exam-cost,"Eye Exam Cost Without Insurance in 2026: National Pricing Guide",4939,1230,7380,37,none,medium,n,1,"bing-stats,bing-related(4),clincalc"
ivf-cost,"IVF Cost Without Insurance in 2026: National Pricing Guide",2735,680,4080,50,none,high,n,1,"bing-stats,clincalc"
dexa-scan-cost,"DEXA Bone Density Scan Cost Without Insurance in 2026: National Pricing Guide",1777,440,2640,45,none,medium,n,1,"bing-stats,clincalc"
wisdom-teeth-removal-cost,"Wisdom Teeth Removal Cost Without Insurance in 2026: National Pricing Guide",1593,392,2352,18,none,high,n,1,"bing-stats,bing-related(1),clincalc"
cologuard-cost,"Cologuard Cost Without Insurance in 2026: Stool DNA Test Pricing Guide",1230,304,1824,55,none,medium,n,1,"bing-stats,clincalc"
vasectomy-cost,"Vasectomy Cost Without Insurance in 2026: National Pricing Guide",1139,280,1680,36,none,medium,n,1,"bing-stats,bing-related(1),clincalc"
ambulance-cost,"Ambulance Ride Cost Without Insurance in 2026: Ground & Air Pricing Guide",1131,277,1662,23,none,medium,n,1,"bing-stats,bing-related(1),clincalc"
knee-replacement-cost,"Knee Replacement Cost Without Insurance in 2026: National Pricing Guide",1023,249,1494,9,none,medium,n,1,"bing-stats,bing-related(3),clincalc,already_queued"
urgent-care-cost,"Urgent Care Visit Cost Without Insurance in 2026: National Pricing Guide",923,224,1344,10,none,medium,n,1,"bing-stats,clincalc"
echocardiogram-cost,"Echocardiogram Cost Without Insurance in 2026: National Pricing Guide",821,200,1200,30,none,medium,n,1,"bing-stats,bing-related(1),clincalc,already_queued"
pet-scan-cost,"PET Scan Cost Without Insurance in 2026: National Pricing Guide",751,184,1104,50,none,medium,n,2,"bing-stats,clincalc"
hysterectomy-cost,"Hysterectomy Cost Without Insurance in 2026: National Pricing Guide",726,176,1056,28,none,medium,n,2,"bing-stats,clincalc"
flu-shot-cost,"Flu Shot Cost Without Insurance in 2026: Pharmacy & Clinic Pricing Guide",695,168,1008,22,none,medium,n,2,"bing-stats,clincalc"
eeg-cost,"EEG Cost Without Insurance in 2026: Electroencephalogram Pricing Guide",683,168,1008,64,none,low,n,2,"bing-stats,clincalc"
sleep-study-cost,"Sleep Study Cost Without Insurance in 2026: In-Lab & Home Pricing Guide",657,160,960,44,none,medium,n,2,"bing-stats,bing-related(1),clincalc"
blood-test-cost,"Blood Test Cost Without Insurance in 2026: CBC, CMP & Lipid Panel Pricing Guide",606,144,864,1,none,medium,n,2,"bing-stats,bing-related(1),clincalc"
mammogram-cost,"Mammogram Cost Without Insurance in 2026: Screening vs Diagnostic Pricing Guide",602,144,864,15,none,high,n,2,"bing-stats,clincalc,already_queued"
ultrasound-cost,"Ultrasound Cost Without Insurance in 2026: National Pricing Guide",572,136,816,7,none,medium,n,2,"bing-stats,clincalc"
rhinoplasty-cost,"Rhinoplasty Cost in 2026: Medical vs Cosmetic National Pricing Guide",549,136,816,83,none,medium,n,2,"bing-stats,clincalc"
bariatric-surgery-cost,"Bariatric Surgery Cost Without Insurance in 2026: Weight Loss Surgery Pricing Guide",525,128,768,58,none,medium,n,2,"bing-stats,clincalc"
dental-cleaning-cost,"Dental Cleaning Cost Without Insurance in 2026: National Pricing Guide",501,120,720,31,none,medium,n,2,"bing-stats,clincalc"
carpal-tunnel-surgery-cost,"Carpal Tunnel Surgery Cost Without Insurance in 2026: National Pricing Guide",457,112,672,70,none,medium,n,2,"bing-stats,clincalc"
chemotherapy-cost,"Chemotherapy Cost Without Insurance in 2026: Per-Cycle National Pricing Guide",438,104,624,26,none,medium,n,2,"bing-stats,clincalc"
hernia-surgery-cost,"Hernia Repair Surgery Cost Without Insurance in 2026: National Pricing Guide",436,104,624,32,none,medium,n,2,"bing-stats,clincalc"
iui-cost,"IUI Cost Without Insurance in 2026: Intrauterine Insemination Pricing Guide",422,104,624,80,none,medium,n,2,"bing-stats,clincalc"
endoscopy-cost,"Endoscopy Cost Without Insurance in 2026: National Pricing Guide",408,96,576,20,none,medium,n,2,"bing-stats,clincalc"
hip-replacement-cost,"Hip Replacement Cost Without Insurance in 2026: National Pricing Guide",345,80,480,17,none,medium,n,2,"bing-stats,clincalc,already_queued"
mole-removal-cost,"Mole Removal Cost Without Insurance in 2026: National Pricing Guide",270,64,384,54,none,medium,n,3,"bing-stats,clincalc"
liver-transplant-cost,"Liver Transplant Cost Without Insurance in 2026: National Pricing Guide",193,48,288,96,none,medium,n,3,"bing-stats,clincalc"
kidney-transplant-cost,"Kidney Transplant Cost Without Insurance in 2026: National Pricing Guide",66,16,96,95,none,medium,n,3,"bing-stats,clincalc"
pap-smear-cost,"Pap Smear Cost Without Insurance in 2026: National Pricing Guide",53,8,48,29,none,medium,n,3,"bing-stats,clincalc"
