topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,topic_type,sources,notes
deductible,What Is a Deductible? 2026 ACA Health Plan Amounts,11003,11003,,,none,high,n,SHIPPED,single-term-definition,bing-GetKeyword-broad-13wk|hcgov-glossary,Already live; flag for Track-E ≤500-word downsize
magi,What Is MAGI? Modified Adjusted Gross Income Explained,4963,4963,,,none,high,n,SHIPPED,single-term-definition,bing-GetKeyword-broad-13wk|hcgov-glossary|FANOUT-4-MAGI-queries,Already live; flag for Track-E downsize
out-of-pocket-maximum,What Is an Out-of-Pocket Maximum? 2026 Limits Explained,762,59,,,none,high,n,SHIPPED,single-term-definition,bing-GetKeyword-broad-13wk|bing-related-deductible,Already live; flag for Track-E downsize
medicare-advantage,What Is Medicare Advantage? 2026 Plans Explained,15046,15046,,,slight,high,n,1,single-term-definition,bing-GetKeyword-broad-13wk|hcgov-glossary,Highest single-term volume after head names; ctaTarget=screener
medigap,What Is Medigap? Medicare Supplement Plans 2026,1034,1034,,,none,medium,n,1,single-term-definition,bing-GetKeyword-broad-13wk|medicare-gov-glossary,Strong head-term + funnel-aligned
irmaa,What Is IRMAA? 2026 Income Brackets and Surcharges,7018,7018,,,none,medium,n,1,single-term-definition,bing-GetKeyword-broad-13wk|ssa-gov,Real Bing demand + IRMAA chart 2026 (8.2k broad) is companion 2-hop
irmaa-chart-2026,IRMAA Chart 2026: Part B and Part D Surcharge Brackets,8195,631,,,none,medium,n,1,single-term-definition,bing-GetRelatedKeywords-irmaa-2026,Companion to irmaa; year-anchored table page
medicaid,What Is Medicaid? 2026 Eligibility and Coverage Overview,92582,92582,,,heavy,high,n,3,single-term-definition,bing-GetKeyword-broad-13wk|busa-overlap-378-articles,Too broad + heavy BUSA overlap; priority 3 = link-target only
chip,What Is CHIP? Children's Health Insurance Program 2026,40356,40356,,,heavy,high,n,3,single-term-definition,bing-GetKeyword-broad-13wk|busa-CHIP-articles,Heavy BUSA overlap; link-target only
hsa,What Is an HSA? 2026 Contribution Limits and Rules,47470,47470,,,slight,high,n,1,single-term-definition,bing-GetKeyword-broad-13wk|irs-gov,Big-volume term with HDHP funnel intent; ctaTarget=analyzer
fsa,What Is an FSA? 2026 Limits and Eligible Expenses,20910,20910,,,none,high,n,1,single-term-definition,bing-GetKeyword-broad-13wk|irs-gov,Big-volume; ctaTarget=analyzer
hra,What Is an HRA? Health Reimbursement Arrangement 2026,12729,12729,,,none,medium,n,2,single-term-definition,bing-GetKeyword-broad-13wk|irs-gov,Mid-volume; pair with HRA-vs-HSA comparison
cobra,What Is COBRA? 2026 Health Insurance Continuation Rules,18151,18151,,,slight,medium,n,1,single-term-definition,bing-GetKeyword-broad-13wk|cobra-vs-marketplace-busa,Funnel-critical (job-loss path)
hmo,What Is an HMO? 2026 Plan Type Explained,3624,3624,,,none,high,n,2,single-term-definition,bing-GetKeyword-broad-13wk|hcgov-glossary,Lower than expected after disambiguation
ppo,What Is a PPO? 2026 Plan Type Explained,6552,6552,,,none,high,n,2,single-term-definition,bing-GetKeyword-broad-13wk|ppo-meaning-related,PPO meaning gets 3.1k broad
epo,What Is an EPO Health Plan? 2026 Coverage Rules,1397,1397,,,none,medium,n,2,single-term-definition,bing-GetKeyword-broad-13wk,Mid-volume; needs HMO/PPO comparison framing
coinsurance,What Is Coinsurance? 2026 Examples and How It Works,1609,1609,,,none,high,n,2,single-term-definition,bing-GetKeyword-broad-13wk|coinsurance-definition-2.4k,Real Bing demand
copay,What Is a Copay? Health Insurance Copayments Explained,17030,17030,,,none,high,n,3,single-term-definition,bing-GetKeyword-broad-13wk,Bing broad-match polluted by drug copay-cards; priority 3 (write as analyzer-bait)
formulary,What Is a Drug Formulary? 2026 Tiers and Coverage Explained,5965,5965,,,none,medium,n,1,single-term-definition,bing-GetKeyword-broad-13wk|cms-gov-formulary,Strong Bing demand + analyzer funnel
prior-authorization,What Is Prior Authorization? 2026 Rules and How to Appeal,14464,14464,,,slight,medium,n,1,single-term-definition,bing-GetKeyword-broad-13wk|cms-gov,High demand + analyzer-aligned (cost-pain question)
step-therapy,What Is Step Therapy? 2026 Insurance Rules,116,116,,,none,low,n,2,single-term-definition,bing-GetKeyword-broad-13wk,Mid-volume + analyzer angle
balance-billing,What Is Balance Billing? 2026 No Surprises Act Protections,123,123,,,none,low,n,2,single-term-definition,bing-GetKeyword-broad-13wk|cms-no-surprises-act,Demand bar barely met; analyzer-bait
no-surprises-act,What Is the No Surprises Act? 2026 Protections from Surprise Bills,375,375,,,slight,low,n,1,single-term-definition,bing-GetKeyword-broad-13wk|cms-gov,Analyzer-funnel-aligned + Bing-validated
