ID,Keyword,Title,State,Program,Type,Intent,Volume,CPC,Competition,RevenueScore,Priority,Status,Notes,URL,Created,Source,Target
CU-001,how to apply for medicaid 2026,How to Apply for Medicaid in 2026: Step-by-Step Guide,,Medicaid,guide,informational,,,,10,2,Ready,,,2026-05-11,AI,
CU-002,medicaid application guide 2026,Medicaid Application Guide 2026: Everything You Need to Know,,Medicaid,guide,informational,,,,10,3,Low Priority,,,2026-05-11,Google,
CU-003,aca open enrollment dates 2026,ACA Open Enrollment Dates 2026: When and How to Sign Up,,ACA Marketplace,guide,informational,,,,9,1,Written,,/blog/aca-open-enrollment-dates-2026,2026-05-11,AI,
CU-004,medicare part b cost 2026,"Medicare Part B Cost 2026: Premiums, Deductibles and Coverage",,Medicare,reference,informational,,,,7,1,Written,,/blog/medicare-part-b-cost-2026,2026-05-11,Google,
CU-005,chip eligibility requirements 2026,CHIP Eligibility Requirements 2026: Does Your Child Qualify?,,CHIP,guide,informational,,,,6,3,Low Priority,,,2026-05-11,AI,
CU-006,free health insurance for low income,Free Health Insurance for Low Income: Your 2026 Options,,Medicaid,guide,informational,,,,10,2,Written,,/blog/free-health-insurance-low-income-2026,2026-05-11,Google,
CU-007,medicaid vs marketplace insurance,Medicaid vs Marketplace Insurance: Which Is Right for You?,,Medicaid,comparison,informational,,,,9,1,Written,,/blog/medicaid-vs-marketplace-insurance,2026-05-11,AI,
CU-008,what is medicare savings program,What Is the Medicare Savings Program? Benefits and Eligibility,,Medicare Savings Programs,guide,informational,,,,7,1,Written,,/blog/what-is-medicare-savings-program,2026-05-11,Google,
CU-009,health insurance for unemployed,Health Insurance Options When You Are Unemployed in 2026,,Medicaid,guide,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-010,health insurance for college students,Health Insurance for College Students: Cheapest 2026 Options,,ACA Marketplace,guide,informational,,,,8,2,Ready,,,2026-05-11,Google,
CU-011,best health insurance for self-employed,Best Health Insurance for Self-Employed Workers in 2026,,ACA Marketplace,guide,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-012,medicaid expansion states 2026,Medicaid Expansion States 2026: Full List and Coverage Details,,Medicaid,reference,informational,,,,9,2,Ready,,,2026-05-11,Google,
CU-013,medicare enrollment periods explained,Medicare Enrollment Periods Explained: Deadlines and Penalties,,Medicare,guide,informational,,,,7,2,Ready,,,2026-05-11,AI,
CU-014,aca subsidy calculator 2026,ACA Subsidy Calculator 2026: Estimate Your Premium Tax Credit,,ACA Marketplace,reference,informational,,,,10,1,Written,,/blog/aca-subsidy-calculator-2026,2026-05-11,Google,
CU-015,va healthcare eligibility requirements,VA Healthcare Eligibility Requirements 2026: Who Qualifies?,,VA Healthcare,guide,informational,,,,6,2,Ready,,,2026-05-11,AI,
CU-016,medicaid income limits by state 2026,Medicaid Income Limits by State 2026: Complete Chart,,Medicaid,reference,informational,,,,10,2,Ready,,,2026-05-11,Google,
CU-017,aca subsidy amounts by income 2026,ACA Subsidy Amounts by Income 2026: How Much Will You Save?,,ACA Marketplace,reference,informational,,,,10,1,Written,,/blog/aca-subsidy-amounts-by-income-2026,2026-05-11,AI,
CU-018,medicare vs medicaid difference,Medicare vs Medicaid: Key Differences Explained Simply,,Medicare,comparison,informational,,,,8,1,Written,,/blog/medicare-vs-medicaid-difference,2026-05-11,Google,
CU-019,cheapest health insurance options 2026,Cheapest Health Insurance Options in 2026,,ACA Marketplace,guide,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-020,obamacare income limits 2026,Obamacare Income Limits 2026: Do You Qualify for Subsidies?,,ACA Marketplace,reference,informational,,,,10,1,Written,,/blog/obamacare-income-limits-2026,2026-05-12,Google,
CU-021,can i get medicaid if im self employed,Can I Get Medicaid If I'm Self-Employed? 2026 Guide,,Medicaid,guide,informational,,,,9,1,Written,,/blog/medicaid-if-self-employed,2026-05-12,AI,
CU-022,health insurance between jobs 2026,Health Insurance Between Jobs: Your Best Options in 2026,,Medicaid,guide,informational,,,,9,2,Ready,,,2026-05-11,Google,
CU-023,medicaid for pregnant women income limits,Medicaid for Pregnant Women: 2026 Income Limits by State,,Medicaid,reference,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-024,chip vs medicaid difference,CHIP vs Medicaid: What's the Difference for Children?,,CHIP,comparison,informational,,,,6,3,Low Priority,,,2026-05-11,Google,
CU-025,medicare advantage vs original medicare,Medicare Advantage vs Original Medicare: Pros and Cons 2026,,Medicare,comparison,informational,,,,7,2,Ready,,,2026-05-11,AI,
CU-026,how much does medicaid cost per month,How Much Does Medicaid Cost Per Month? Premiums and Copays,,Medicaid,reference,informational,,,,8,3,Low Priority,,,2026-05-11,Google,
CU-027,texas medicaid income limits 2026,Texas Medicaid Income Limits 2026: Full Eligibility Guide,TX,Medicaid,state-specific,informational,,,,10,2,Ready,,,2026-05-11,AI,
CU-028,how to apply for medicaid in texas,How to Apply for Medicaid in Texas (2026),TX,Medicaid,state-specific,informational,,,,9,2,Ready,,,2026-05-11,Google,
CU-029,texas aca marketplace plans 2026,"Texas ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",TX,ACA Marketplace,state-specific,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-030,free health insurance texas 2026,Free Health Insurance in Texas 2026: Medicaid and CHIP Options,TX,Medicaid,state-specific,informational,,,,8,2,Ready,,,2026-05-11,Google,
CU-031,texas chip eligibility 2026,Texas CHIP Eligibility 2026: Income Limits and How to Enroll,TX,CHIP,state-specific,informational,,,,6,2,Ready,,,2026-05-11,AI,
CU-032,florida medicaid income limits 2026,Florida Medicaid Income Limits 2026: Full Eligibility Guide,FL,Medicaid,state-specific,informational,,,,10,2,Ready,,,2026-05-11,Google,
CU-033,how to apply for medicaid in florida,How to Apply for Medicaid in Florida (2026),FL,Medicaid,state-specific,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-034,florida aca marketplace plans 2026,"Florida ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",FL,ACA Marketplace,state-specific,informational,,,,9,2,Ready,,,2026-05-11,Google,
CU-035,free health insurance florida 2026,Free Health Insurance in Florida 2026: Medicaid and CHIP Options,FL,Medicaid,state-specific,informational,,,,8,2,Ready,,,2026-05-11,AI,
CU-036,florida chip eligibility 2026,Florida CHIP Eligibility 2026: Income Limits and How to Enroll,FL,CHIP,state-specific,informational,,,,6,2,Ready,,,2026-05-11,Google,
CU-037,georgia medicaid income limits 2026,Georgia Medicaid Income Limits 2026: Full Eligibility Guide,GA,Medicaid,state-specific,informational,,,,10,2,Ready,,,2026-05-11,AI,
CU-038,how to apply for medicaid in georgia,How to Apply for Medicaid in Georgia (2026),GA,Medicaid,state-specific,informational,,,,9,2,Ready,,,2026-05-11,Google,
CU-039,georgia aca marketplace plans 2026,"Georgia ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",GA,ACA Marketplace,state-specific,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-040,free health insurance georgia 2026,Free Health Insurance in Georgia 2026: Medicaid and CHIP Options,GA,Medicaid,state-specific,informational,,,,8,2,Ready,,,2026-05-11,Google,
CU-041,georgia chip eligibility 2026,Georgia CHIP Eligibility 2026: Income Limits and How to Enroll,GA,CHIP,state-specific,informational,,,,6,2,Ready,,,2026-05-11,AI,
CU-042,north carolina medicaid income limits 2026,North Carolina Medicaid Income Limits 2026: Full Eligibility Guide,NC,Medicaid,state-specific,informational,,,,10,2,Ready,,,2026-05-11,Google,
CU-043,how to apply for medicaid in north carolina,How to Apply for Medicaid in North Carolina (2026),NC,Medicaid,state-specific,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-044,north carolina aca marketplace plans 2026,"North Carolina ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",NC,ACA Marketplace,state-specific,informational,,,,9,2,Ready,,,2026-05-11,Google,
CU-045,free health insurance north carolina 2026,Free Health Insurance in North Carolina 2026: Medicaid and CHIP Options,NC,Medicaid,state-specific,informational,,,,8,2,Ready,,,2026-05-11,AI,
CU-046,north carolina chip eligibility 2026,North Carolina CHIP Eligibility 2026: Income Limits and How to Enroll,NC,CHIP,state-specific,informational,,,,6,2,Ready,,,2026-05-11,Google,
CU-047,california medicaid income limits 2026,California Medicaid Income Limits 2026: Full Eligibility Guide,CA,Medicaid,state-specific,informational,,,,10,2,Ready,,,2026-05-11,AI,
CU-048,how to apply for medicaid in california,How to Apply for Medicaid in California (2026),CA,Medicaid,state-specific,informational,,,,9,2,Ready,,,2026-05-11,Google,
CU-049,california aca marketplace plans 2026,"California ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",CA,ACA Marketplace,state-specific,informational,,,,9,2,Ready,,,2026-05-11,AI,
CU-050,free health insurance california 2026,Free Health Insurance in California 2026: Medicaid and CHIP Options,CA,Medicaid,state-specific,informational,,,,8,2,Ready,,,2026-05-11,Google,
CU-051,california chip eligibility 2026,California CHIP Eligibility 2026: Income Limits and How to Enroll,CA,CHIP,state-specific,informational,,,,6,2,Ready,,,2026-05-11,AI,
CU-052,arizona medicaid income limits 2026,Arizona Medicaid Income Limits 2026: Full Eligibility Guide,AZ,Medicaid,state-specific,informational,,,,10,3,Ready,,,2026-05-11,Google,
