topic,title_hint,subtype,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,state_fork,priority,already_queued,sources,competitor_enumeration_source,manual_brainstorm_score
does-medicare-cover-hearing-aids,Does Medicare Cover Hearing Aids? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov/coverage/hearing-aids,aarp.org,ncoa,humana",medicare.gov+aarp+humana,10
does-medicare-cover-glasses,Does Medicare Cover Eyeglasses? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov/coverage/eyeglasses-contact-lenses,aarp",medicare.gov+aarp,10
does-medicare-cover-eye-exams,Does Medicare Cover Eye Exams? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov,humana,aarp",medicare.gov+aarp,9
does-medicare-cover-dental-implants,Does Medicare Cover Dental Implants? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"medicare.gov,aarp,delta-dental",aarp+delta-dental,9
does-medicare-cover-dentures,Does Medicare Cover Dentures? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"aarp,medicareadvocacy.org,humana",aarp+humana,9
does-medicare-cover-root-canals,Does Medicare Cover Root Canals? (2026 Answer),qa-coverage,,,,,none,low,n,n,2,n,"medicare.gov,aarp,deltadental",aarp+delta-dental,7
does-medicare-cover-crowns,Does Medicare Cover Dental Crowns? (2026 Answer),qa-coverage,,,,,none,low,n,n,2,n,"aarp,humana,deltadental",aarp+humana,6
does-medicare-cover-cataract-surgery,Does Medicare Cover Cataract Surgery? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov/coverage/cataract-surgery,aarp,allaboutvision",medicare.gov+aarp,10
does-medicare-cover-lasik,Does Medicare Cover LASIK Eye Surgery? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,aarp,allaboutvision",medicare.gov+aarp,7
does-medicare-cover-mental-health,Does Medicare Cover Mental Health Care? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov/coverage/mental-health-care,aarp,kff",medicare.gov+kff,10
does-medicare-cover-therapy,Does Medicare Cover Therapy and Counseling? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov,aarp,psychologytoday",medicare.gov+aarp,9
does-medicare-cover-psychiatrists,Does Medicare Cover Psychiatrist Visits? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,aarp",medicare.gov+aarp,7
does-medicare-cover-addiction-rehab,Does Medicare Cover Drug and Alcohol Rehab? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"medicare.gov,samhsa,aarp",medicare.gov+samhsa,8
does-medicare-cover-ozempic,Does Medicare Cover Ozempic? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov,goodrx,kff",goodrx+kff,10
does-medicare-cover-wegovy,Does Medicare Cover Wegovy for Weight Loss? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov,kff,goodrx",kff+goodrx,10
does-medicare-cover-mounjaro,Does Medicare Cover Mounjaro? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"goodrx,kff",goodrx+kff,10
does-medicare-cover-glp1-weight-loss,Does Medicare Cover GLP-1 Drugs for Weight Loss? (2026 Answer),qa-coverage,,,,,none,medium,n,n,1,n,"kff,goodrx,cms",kff+cms,9
does-medicare-cover-bariatric-surgery,Does Medicare Cover Bariatric Surgery? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,obesityaction,aarp",medicare.gov+aarp,7
does-medicare-cover-chiropractic,Does Medicare Cover Chiropractic Care? (2026 Answer),qa-coverage,,,,,none,high,n,n,2,n,"medicare.gov/coverage/chiropractic-services,aarp",medicare.gov+aarp,8
does-medicare-cover-acupuncture,Does Medicare Cover Acupuncture? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,aarp",medicare.gov+aarp,7
does-medicare-cover-physical-therapy,Does Medicare Cover Physical Therapy? (2026 Answer),qa-coverage,,,,,none,high,n,n,1,n,"medicare.gov,aarp,apta",medicare.gov+aarp,9
does-medicare-cover-occupational-therapy,Does Medicare Cover Occupational Therapy? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,aota,aarp",medicare.gov+aarp,7
does-medicare-cover-speech-therapy,Does Medicare Cover Speech Therapy? (2026 Answer),qa-coverage,,,,,none,medium,n,n,2,n,"medicare.gov,asha,aarp",medicare.gov+aarp,7
