template,topic,title,busa_match_url,busa_match_title,overlap_severity,recommendation,notes
event,medicaid-pregnant-women-2026,Medicaid for Pregnant Women: 2026 Income Limits by State (Hub),https://benefitsusa.org/en/blog/medicaid-income-limits-pregnant-women,Medicaid Income Limits for Pregnant Women by State (2025),slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.46; state_specific=y
track-d,state-medi-cal-income-limits,California Medi-Cal Income Limits 2026 (state-brand variant of CA Medicaid),https://benefitsusa.org/en/blog/california-medicaid-eligibility-2026,California Medi-Cal Eligibility 2026: Income Limits Guide,slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.47; state_specific=y
track-d,state-badgercare-income-limits,Wisconsin BadgerCare Income Limits 2026 (state-brand variant of WI Medicaid),https://benefitsusa.org/en/blog/wisconsin-medicaid-eligibility-2026,"Wisconsin Medicaid Eligibility 2026: Income Limits, BadgerCare Plus, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.40; state_specific=y
track-d,state-arhome-income-limits,Arkansas ARHOME Income Limits 2026 (state-brand variant of AR Medicaid),https://benefitsusa.org/en/blog/arkansas-medicaid-eligibility-2026,"Arkansas Medicaid Eligibility 2026: Income Limits, ARHOME, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.40; state_specific=y
track-d,medicaid-eligibility-alabama,Do I Qualify for Alabama Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/alabama-medicaid-eligibility-2026,"Alabama Medicaid Eligibility 2026: Income Limits, Requirements, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
track-d,medicaid-eligibility-alaska,Do I Qualify for Alaska Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/alaska-medicaid-eligibility-2026,"Alaska Medicaid Eligibility 2026: Income Limits, How to Apply, and Who Qualifies",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
track-d,medicaid-eligibility-arkansas,Do I Qualify for Arkansas Medicaid (ARHOME) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/arkansas-medicaid-eligibility-2026,"Arkansas Medicaid Eligibility 2026: Income Limits, ARHOME, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.50; state_specific=y
track-d,medicaid-eligibility-california,Do I Qualify for Medi-Cal in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/california-medicaid-eligibility-2026,California Medi-Cal Eligibility 2026: Income Limits Guide,moderate,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.57; state_specific=y
track-d,medicaid-eligibility-connecticut,Do I Qualify for HUSKY Health (CT Medicaid) in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/connecticut-medicaid-eligibility-2026,"Connecticut Medicaid Eligibility 2026: Income Limits, HUSKY Programs, and How to Apply",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.44; state_specific=y
track-d,medicaid-eligibility-delaware,Do I Qualify for Delaware Medicaid in 2026? Income Limits & Rules,https://benefitsusa.org/en/blog/delaware-medicaid-eligibility-2026,"Delaware Medicaid Eligibility 2026: Income Limits, How to Apply, and What You Need to Know",slight,KEEP — intent split (BUSA = how-to-apply/general; CoveredUSA = FANOUT-structured eligibility/income lookup),jaccard 0.43; state_specific=y
