url,title,page_type,topic_bucket,lang,blog_date,sitemap_lastmod,has_es
https://benefitsusa.org/ak, / ak,state-shortcut,Other/Mixed,,,2026-05-15,y
https://benefitsusa.org/ak/es, / ak / es,other,Other/Mixed,,,,
https://benefitsusa.org/al, / al,state-shortcut,Other/Mixed,,,2026-05-15,y
https://benefitsusa.org/al/es, / al / es,other,Other/Mixed,,,,
https://benefitsusa.org/ar, / ar,state-shortcut,Other/Mixed,,,2026-05-15,y
https://benefitsusa.org/ar/es, / ar / es,other,Other/Mixed,,,,
https://benefitsusa.org/az, / az,state-shortcut,Other/Mixed,,,2026-05-15,y
https://benefitsusa.org/az/es, / az / es,other,Other/Mixed,,,,
https://benefitsusa.org/ca, / ca,state-shortcut,Other/Mixed,,,2026-05-15,y
https://benefitsusa.org/ca/es, / ca / es,other,Other/Mixed,,,,
https://benefitsusa.org/co, / co,state-shortcut,Other/Mixed,,,2026-05-15,y
https://benefitsusa.org/co/es, / co / es,other,Other/Mixed,,,,
https://benefitsusa.org/ct, / ct,state-shortcut,Other/Mixed,,,2026-05-15,y
https://benefitsusa.org/ct/es, / ct / es,other,Other/Mixed,,,,
https://benefitsusa.org/dc, / dc,state-shortcut,Other/Mixed,,,2026-05-15,y
https://benefitsusa.org/dc/es, / dc / es,other,Other/Mixed,,,,
https://benefitsusa.org/de, / de,state-shortcut,Other/Mixed,,,2026-05-15,y
https://benefitsusa.org/de/es, / de / es,other,Other/Mixed,,,,
https://benefitsusa.org/en/,home,home,Other/Mixed,en,,2026-05-15,y
https://benefitsusa.org/en/about,about,utility-page,Other/Mixed,en,,2026-05-15,y
https://benefitsusa.org/en/benefits-eligibility-chart,benefits eligibility chart,utility-page,Other/Mixed,en,,2026-05-15,y
https://benefitsusa.org/en/blog,blog,blog-index,Other/Mixed,en,,2026-05-15,y
https://benefitsusa.org/en/blog/2025-federal-poverty-level-chart,"'2025 Federal Poverty Guidelines: $15,650 for 1 Person'",blog-post,Tax/Income,en,2026-03-06T00:00:00.000Z,2026-03-06,y
https://benefitsusa.org/en/blog/aca-subsidies-expiring-2026,ACA Subsidy Cliff 2026: Enhanced Marketplace Subsidies Set to Expire,blog-post,ACA,en,2026-02-22,2026-02-22,y
https://benefitsusa.org/en/blog/acp-replacement-2025,Affordable Connectivity Program Replacement vs Lifeline: Internet Discounts in 2025,blog-post,Other/Mixed,en,2026-03-11,2026-03-11,y
https://benefitsusa.org/en/blog/add-person-to-snap-case,How to Add a New Household Member to Your Benefits Case,blog-post,SNAP,en,2026-04-14,2026-04-14,y
https://benefitsusa.org/en/blog/adoption-subsidy-and-food-stamps,How Adoption Subsidies Interact with Benefits,blog-post,ACA,en,2026-05-08,2026-05-08,y
https://benefitsusa.org/en/blog/affordable-connectivity-program-status,Emergency Broadband Benefit / Affordable Connectivity Program Successor,blog-post,Other/Mixed,en,2026-04-04,2026-04-04,y
https://benefitsusa.org/en/blog/aging-out-of-foster-care-at-18-benefits,Turning 18 in Foster Care: Independent Living Benefits You Can Claim,blog-post,Other/Mixed,en,2026-03-29,2026-03-29,y
https://benefitsusa.org/en/blog/aging-parent-moving-in-benefits-multigenerational-households,Aging Parent Moving In: Benefits for Multigenerational Households,blog-post,Other/Mixed,en,2026-02-24,2026-02-24,y
https://benefitsusa.org/en/blog/alabama-aca-benefits-and-coverage,Alabama ACA Benefits and Coverage: Your Complete Guide to Marketplace Health Insurance,blog-post,ACA,en,2025-02-15,2025-02-15,y
https://benefitsusa.org/en/blog/alabama-aca-calculator,Alabama ACA Calculator: How to Estimate Your 2026 Marketplace Subsidies,blog-post,ACA,en,2026-05-12,2026-05-12,y
https://benefitsusa.org/en/blog/alabama-aca-eligibility-2026,"Alabama ACA Eligibility 2026: Income Limits, Subsidies, and How to Enroll",blog-post,ACA,en,2026-03-26,2026-03-26,y
https://benefitsusa.org/en/blog/alabama-medicaid-eligibility-2026,"Alabama Medicaid Eligibility 2026: Income Limits, Requirements, and How to Apply",blog-post,Medicaid,en,2026-02-27,2026-02-27,y
https://benefitsusa.org/en/blog/alabama-medicaid-income-limits-2026,Alabama Medicaid Income Limits 2026,blog-post,Medicaid,en,2026-05-04,2026-05-04,y
