topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,republish_annually,notes
ACA-open-enrollment-2026,Open Enrollment 2026: ACA Marketplace Dates and What's New This Year,600,1490,40500,,slight,high,n,1,"bing-getkeywordstats=1490broad,bing-related=5020peak,kff,healthcare.gov,competitor-landscape",n,n,y,"weighted-mean ~600 not peak 1490; demand-score corrected per critique §7; republish each September"
qualifying-life-event-2026,Qualifying Life Events 2026: Every SEP That Triggers Coverage Outside Open Enrollment,490,240,12100,,none,medium,n,1,"bing-getkeywordstats=240broad,bing-related=2283,cms,healthcare.gov",n,y,y,"hub page for all SEP triggers; republish annually"
special-enrollment-period-2026,ACA Special Enrollment Period 2026: Who Qualifies and How to Apply,398,148,8100,,none,medium,n,1,"bing-getkeywordstats=148broad,bing-related=1610,cms,healthinsurance.org",n,y,y,"republish annually"
under-150-fpl-year-round-sep,Under 150% FPL Year-Round SEP 2026: Sign Up Any Month for Zero-Premium Coverage,300,,2400,,none,low,n,1,"cms-2022-sep-rule,kff,healthcare.gov-low-income-sep",n,n,n,"MANDATORY ADD per critique §8; highest broker-funnel value; CMS-shipped 2022; biggest BUSA-funnel gap"
medicare-aep-2026,Medicare Annual Enrollment Period 2026: Oct 15 - Dec 7 Dates and What You Can Change,450,,33100,,slight,high,n,1,"medicare.gov,kff,nerdwallet,medicareguide",n,y,y,"MANDATORY ADD per critique §2; B was right A was wrong to exclude; dominant 2026 event-search shape; republish each September"
medicare-oep-2026,Medicare Open Enrollment Period 2026: Jan-Mar MA Switch Window,180,,8100,,none,medium,n,1,"medicare.gov,medicarefaq,ehealth",n,n,y,"MANDATORY ADD per critique §2; republish each December"
5-star-medicare-sep,5-Star Medicare SEP 2026: Year-Round Switch to a 5-Star MA or PDP Plan,90,,1300,,none,low,n,1,"medicare.gov,boomer-benefits,cms-star-ratings",n,n,n,"MANDATORY ADD per critique §8; year-round Medicare SEP"
irmaa-life-event-appeal,IRMAA Appeal 2026: Form SSA-44 After Retirement Divorce or Spouse Death,75,,1900,,none,low,n,1,"ssa-form-ssa-44,medicare.gov,boomer-benefits",n,n,n,"MANDATORY ADD per critique §8; high-income retiree funnel; triggered by life event"
medicare-special-enrollment-period,Medicare Special Enrollment Periods 2026: Every Trigger Explained (Job Loss Retirement Move),300,50,4400,,slight,medium,n,1,"bing-getkeywordstats=50broad,bing-related=549,medicare.gov,cms,kff",n,n,n,"hub page consolidating Medicare SEPs per critique §7"
medicare-initial-enrollment-period-2026,Medicare Initial Enrollment Period 2026: The 7-Month Window Explained,75,,1300,,slight,medium,n,1,"medicare.gov,ssa,boomer-benefits",n,n,n,
