topic,title_hint,topic_type,demand_score,bing_impressions_weekly,busa_overlap,competitor_density,state_specific,priority,sources,already_live,already_queued,priority_signal,notes
deductible,What Is a Deductible? 2026 ACA Health Plan Amounts,single-term-definition,11003,11003,none,high,n,SHIPPED,bing-GetKeyword-broad-13wk|hcgov-glossary,y,n,both,Track-E downsize candidate; rewrite to <=500 words per FANOUT §4.5
magi,What Is MAGI? Modified Adjusted Gross Income Explained,single-term-definition,4963,4963,none,high,n,SHIPPED,bing-GetKeyword-broad-13wk|hcgov-glossary|FANOUT-4-MAGI-queries,y,n,both,Track-E downsize candidate; rewrite to <=500 words
out-of-pocket-maximum,What Is an Out-of-Pocket Maximum? 2026 Limits Explained,single-term-definition,762,59,none,high,n,SHIPPED,bing-GetKeyword-broad-13wk|bing-related-deductible,y,n,both,Track-E downsize candidate; rewrite to <=500 words
copay,What Is a Copay? Definition + 2026 Examples,single-term-definition,256,256,none,high,n,1,already_queued|healthcare.gov|cigna|uhc,n,y,internal-link-target,Pure link target; pair with coinsurance. Already in queue (CU)
coinsurance,What Is Coinsurance? How It Works (2026),single-term-definition,175,175,none,high,n,1,already_queued|healthcare.gov|cigna|uhc,n,y,internal-link-target,Pure link target; pair with copay + deductible. Already in queue
premium-tax-credit,What Is the Premium Tax Credit (PTC)? 2026 Rules After the Cliff Returns,single-term-definition,547,303,slight,medium,n,1,already_queued|healthcare.gov|irs|kff|bing-GetKeyword-broad-13wk,n,y,both,547 real internal hits; 2026 enhanced-PTC-expired hook; anchors all subsidy math
special-enrollment-period,What Is a Special Enrollment Period (SEP)? Qualifying Life Events + 60-Day Window,single-term-definition,383,124,slight,medium,n,1,already_queued|healthcare.gov|kff,n,y,internal-link-target,383 real internal hits; anchor for every event-template page; covers 60-day window
explanation-of-benefits,What Is an EOB? It's Not a Bill — Here's How to Read Yours,single-term-definition,17,1206,none,low,n,1,already_queued|healthcare.gov|goodrx|bing-GetKeyword-broad-13wk,n,y,both,Bill-analyzer funnel hook
prior-authorization,What Is Prior Authorization? When Insurers Require Pre-Approval (2026),single-term-definition,93,14464,slight,medium,n,1,already_queued|healthcare.gov|cms|ama|bing-GetKeyword-broad-13wk,n,y,both,2026 CMS streamlining rules year-anchor; drug+procedure pages reference
hdhp,What Is an HDHP? 2026 IRS Minimums + HSA Eligibility,single-term-definition,176,571,none,medium,n,1,already_queued|irs|healthcare.gov|bing-GetKeyword-broad-13wk,n,y,both,2026 minimums: $1650 self / $3300 family; HSA pair partner
