topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,sources,notes
ozempic-cost,"Ozempic Cost in 2026: Without Insurance, With Medicare, and Assistance Options",925,320,40500,17,none,high,n,SHIPPED,bing|clincalc|ira-2027|goodrx-catalog,Already live — DO NOT WRITE; for reference only
metformin-cost,"Metformin Cost in 2026: Generic, Brand, and Programs",160,30,9900,2,none,high,n,SHIPPED,bing|clincalc|goodrx-catalog,Already live — DO NOT WRITE
insulin-cost,Insulin Cost at the Hospital in 2026,150,31,12100,21,none,high,n,SHIPPED,bing|clincalc|goodrx-catalog,Already live — DO NOT WRITE
wegovy-cost,"Wegovy Cost in 2026: Without Insurance, Savings Card, and Generic Status",1100,404,40500,71,none,high,n,1,bing|clincalc|goodrx-catalog,Highest-volume GLP-1 cost query not yet shipped; demand >ozempic
mounjaro-cost,"Mounjaro Cost in 2026: Savings Card, Medicare Coverage, and Manjaro Direct",890,834,33100,84,none,high,n,1,bing|clincalc|goodrx-catalog,Top-tier GLP-1; mounjaro savings card is #1 cost intent in dataset
zepbound-cost,"Zepbound Cost in 2026: LillyDirect Self-Pay, Insurance, and Generic Status",850,500,27100,142,none,high,n,1,bing|clincalc|goodrx-catalog,Newer GLP-1 (Lilly); 'zepbound coupon' broad=54k; LillyDirect angle wide-open
eliquis-cost,"Eliquis Cost in 2026: IRA Negotiated Price, Generic Status, Patient Assistance",820,149,40500,30,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,IRA Maximum Fair Price effective Jan 2026 — year-anchored news cycle
jardiance-cost,"Jardiance Cost in 2026: IRA Negotiated Price, Generic Empagliflozin Status",720,93,18100,43,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,IRA negotiated drug; generic empagliflozin in patent litigation
xarelto-cost,Xarelto Cost in 2026: IRA Maximum Fair Price and Patient Assistance,640,41,12100,55,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,IRA negotiated drug — year-anchored
januvia-cost,Januvia Cost in 2026: IRA Negotiated Price and Sitagliptin Generic,580,28,9900,68,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,IRA negotiated drug; generic sitagliptin available 2022
farxiga-cost,Farxiga Cost in 2026: IRA Maximum Fair Price and Dapagliflozin Generic Status,720,62,14800,98,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,IRA negotiated drug; dapagliflozin generic launching 2025-2026
entresto-cost,Entresto Cost in 2026: IRA Maximum Fair Price and Sacubitril Generic Timing,560,33,8100,118,none,high,n,1,bing|clincalc|ira-2026|goodrx-catalog,IRA negotiated drug; first generic delayed multiple times
imbruvica-cost,Imbruvica Cost in 2026: IRA Maximum Fair Price for CLL Patients,420,15,4400,N/A,none,medium,n,1,bing|clincalc|ira-2026,IRA negotiated drug; specialty oncology — low search but high-value
stelara-cost,Stelara Cost in 2026: IRA Maximum Fair Price and Biosimilar Wezlana Launch,540,20,8100,N/A,none,medium,n,1,bing|clincalc|ira-2026|goodrx-catalog,IRA negotiated drug + biosimilar launch — strong news anchor
fiasp-cost,Fiasp and NovoLog Cost in 2026: IRA Negotiated Insulin Prices,380,21,2900,75,none,medium,n,2,bing|clincalc|ira-2026,IRA negotiated insulin grouping; complements existing insulin-cost article
trulicity-cost,Trulicity Cost in 2026: Lilly Cares Patient Assistance and Generic Status,520,23,12100,52,none,high,n,2,bing|clincalc|goodrx-catalog,Pre-IRA GLP-1; lilly cares PAP highly searched
