topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,medicare_enrollment,ma_penetration,busa_overlap,competitor_density,state_specific,priority,sources,already_live,notes
georgia,Medicare Advantage Plans in Georgia 2026,9200,1500,8100,1750000,0.55,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-GA,MedicareGuide-GA,US-News-GA,eHealth-GA",n,"Top Tier 1 — large MA shopper pool, Kaiser-GA defensible answer; partial Spanish opportunity in Atlanta metro"
north-carolina,Medicare Advantage Plans in North Carolina 2026,9100,1450,8100,2050000,0.55,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-NC,MedicareGuide-NC,US-News-NC,eHealth-NC",n,"Largest total Medicare enrollment among unshipped states"
illinois,Medicare Advantage Plans in Illinois 2026,7900,1300,6600,2050000,0.50,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-IL,MedicareGuide-IL,US-News-IL,eHealth-IL",n,"Penetration adjudicated to 50% (A had stale 41%, B had 55%); strong Chicago Spanish twin opportunity"
arizona,Medicare Advantage Plans in Arizona 2026,8800,1400,6600,1450000,0.56,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-AZ,MedicareGuide-AZ,US-News-AZ,eHealth-AZ",n,"High Latino population — strong Spanish twin double-count via AI-citation surface"
tennessee,Medicare Advantage Plans in Tennessee 2026,8100,1250,5400,1340000,0.59,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-TN,MedicareGuide-TN,US-News-TN,eHealth-TN",n,"Highest penetration in Tier 1 (59%); TennCare state brand"
virginia,Medicare Advantage Plans in Virginia 2026,7300,1100,5400,1500000,0.49,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-VA,MedicareGuide-VA,US-News-VA,eHealth-VA",n,"DC-metro adjacency; penetration adjudicated to 49% (B)"
new-jersey,Medicare Advantage Plans in New Jersey 2026,8000,1300,5400,1550000,0.46,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-NJ,MedicareGuide-NJ,US-News-NJ,eHealth-NJ",n,"Largest unshipped Northeast; Spanish opportunity"
indiana,Medicare Advantage Plans in Indiana 2026,6300,950,4400,1320000,0.50,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-IN,MedicareGuide-IN,US-News-IN,eHealth-IN",n,"Adjudication win — A undervalued IN; ~660K MA shoppers; HIP state brand"
massachusetts,Medicare Advantage Plans in Massachusetts 2026,6900,1100,4400,1300000,0.46,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-MA,MedicareGuide-MA,US-News-MA,eHealth-MA",n,"Big absolute pool, lower penetration; MA-vs-Medigap guaranteed-issue state"
washington,Medicare Advantage Plans in Washington 2026,6800,1050,4400,1420000,0.49,none,high,y,1,"CMS-State-County-Penetration-May2026,KFF-MA-2025-enrollment,KFF-2026-Spotlight,NerdWallet-WA,MedicareGuide-WA,US-News-WA,eHealth-WA",n,"Pacific NW lead; Kaiser-WA strength; MA-vs-Medigap guaranteed-issue state"
