sheet_row,sheet_id,sheet_title,sheet_status,sheet_priority,classification,matched_template,matched_slug,recommended_action,confidence,notes
2,CU-001,How to Apply for Medicaid in 2026: Step-by-Step Guide,Ready,2,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
3,CU-002,Medicaid Application Guide 2026: Everything You Need to Know,Low Priority,3,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
6,CU-005,CHIP Eligibility Requirements 2026: Does Your Child Qualify?,Low Priority,3,REVIEW_NEEDED,qa,chip-eligibility-new-york,Review: looks like qa but jaccard only 0.63. Could keep as blog OR migrate.,0.63,Ambiguous match; needs human eyes
10,CU-009,Health Insurance Options When You Are Unemployed in 2026,Ready,2,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
11,CU-010,Health Insurance for College Students: Cheapest 2026 Options,Ready,2,REVIEW_NEEDED,event,graduated-college,Review: looks like event but jaccard only 0.56. Could keep as blog OR migrate.,0.56,Ambiguous match; needs human eyes
12,CU-011,Best Health Insurance for Self-Employed Workers in 2026,Ready,2,DROP_DUPE_EXISTING_PAGE,persona,self-employed,DELETE FROM SHEET (already shipped),0.90,Duplicates live persona page /self-employed (concept match)
13,CU-012,Medicaid Expansion States 2026: Full List and Coverage Details,Ready,2,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
14,CU-013,Medicare Enrollment Periods Explained: Deadlines and Penalties,Ready,2,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
16,CU-015,VA Healthcare Eligibility Requirements 2026: Who Qualifies?,Ready,2,KEEP_AS_BLOG,,,"KEEP IN SHEET — narrative/news-cycle/listicle shape, not template-shape",0.80,Blog-shape title (narrative/listicle/hospital-specific/news angle)
17,CU-016,Medicaid Income Limits by State 2026: Complete Chart,Ready,2,REVIEW_NEEDED,event,medicaid-pregnant-women-2026,Review: looks like event but jaccard only 0.56. Could keep as blog OR migrate.,0.56,Ambiguous match; needs human eyes
20,CU-019,Cheapest Health Insurance Options in 2026,Ready,2,REVIEW_NEEDED,persona,freelancers,Review: looks like persona but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
23,CU-022,Health Insurance Between Jobs: Your Best Options in 2026,Ready,2,REVIEW_NEEDED,event,switching-jobs,Review: looks like event but jaccard only 0.56. Could keep as blog OR migrate.,0.56,Ambiguous match; needs human eyes
24,CU-023,Medicaid for Pregnant Women: 2026 Income Limits by State,Ready,2,MIGRATE_TO_TEMPLATE,event,medicaid-pregnant-women-2026,Migrate to event template; delete from Sheet so blog-cron doesn't write it as a blog.,0.88,Strong match to event topic 'medicaid-pregnant-women-2026' (jaccard 0.88)
25,CU-024,CHIP vs Medicaid: What's the Difference for Children?,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
26,CU-025,Medicare Advantage vs Original Medicare: Pros and Cons 2026,Ready,2,REVIEW_NEEDED,qa,medicare-advantage-vs-original-medicare,Review: looks like qa but jaccard only 0.50. Could keep as blog OR migrate.,0.50,Ambiguous match; needs human eyes
27,CU-026,How Much Does Medicaid Cost Per Month? Premiums and Copays,Low Priority,3,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,"KEEP IN SHEET — no template match, treat as blog",0.50,No template match found
28,CU-027,Texas Medicaid Income Limits 2026: Full Eligibility Guide,Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-texas,Track D /medicaid-income-limits/texas owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for TX. Belongs to Track D Medicaid factory.
29,CU-028,How to Apply for Medicaid in Texas (2026),Ready,2,MIGRATE_TO_TEMPLATE,track-d,medicaid-eligibility-texas,Track D /medicaid-income-limits/texas owns this. Delete from Sheet to avoid blog-cron writing it.,0.92,State-Medicaid eligibility/income/apply/CHIP intent for TX. Belongs to Track D Medicaid factory.
30,CU-029,"Texas ACA Marketplace Plans 2026: Costs, Subsidies and Enrollment",Ready,2,KEEP_AS_BLOG_NO_TEMPLATE_MATCH,,,KEEP IN SHEET — no per-state ACA template exists yet (potential future template; not in 7-template universe),0.85,State-ACA marketplace topic — no current template (could be future ma-state-adjacent ACA fork)
