topic,title_hint,demand_score,bing_impressions_weekly,google_monthly_volume,utilization_rank,busa_overlap,competitor_density,state_specific,priority,competitor_enumeration_source,manual_brainstorm_score,sources,already_queued
just-lost-job,Just Lost Your Job? Health Insurance Options in 2026,,,,,slight,high,y,LIVE,"Healthcare.gov /sep, healthinsurance.org Norris, KFF, Boomer, NerdWallet",10,"competitor-landscape §5, BUSA cobra-vs-marketplace, BUSA lost-job-what-benefits",live
turning-26,Turning 26? Aging Off Parent's Plan in 2026,,,,,slight,high,y,LIVE,"Healthcare.gov, RKA, GoodRx, MoneyGeek, NAIC, UHC, BCBSTX",10,competitor-landscape §5,live
turning-65,Turning 65? Medicare Enrollment Deadlines 2026,,,,,slight,high,n,LIVE,"Medicare.gov, MedicareFaq, Boomer Benefits, EBInsurance, Kiplinger",10,competitor-landscape §5,live
laid-off,Laid Off? Your Health Insurance Options Explained in 2026,,,,,slight,high,y,1,"Healthcare.gov sep/job-loss, healthinsurance.org, NerdWallet",10,CONTENT_INVENTORY CU-218,queued
got-married,Just Got Married? Health Insurance Options and SEP Rules 2026,,,,,slight,medium,n,1,"Healthcare.gov /sep/marriage, healthinsurance.org, KFF",10,CONTENT_INVENTORY CU-221,queued
got-divorced,Got Divorced? Health Insurance After Divorce in 2026,,,,,slight,medium,n,1,"Healthcare.gov /sep, Norris, NerdWallet, Verywell",10,"CONTENT_INVENTORY CU-213, CU-167",queued
having-a-baby,Having a Baby? Adding a Newborn to Your Health Insurance 2026,,,,,slight,medium,y,1,"Healthcare.gov /sep/birth, March of Dimes, KFF",10,CONTENT_INVENTORY CU-217,queued
moving-states,Moving to a New State? Switching Health Insurance 2026,,,,,slight,medium,y,1,"Healthcare.gov /sep/move, NerdWallet, healthinsurance.org",10,CONTENT_INVENTORY CU-219,queued
turning-65-still-working,Turning 65 While Still Working: Do You Need Medicare in 2026?,,,,,slight,high,n,1,"Medicare.gov, Boomer Benefits, MedicareFaq, SSA",9,CONTENT_INVENTORY CU-107,queued
medicare-aep-2026,Medicare Annual Enrollment Period 2026: Dates and What You Can Change,,,,,slight,high,n,1,"Medicare.gov, Kaiser, NerdWallet, MedicareGuide",10,medicare-explainer CU-206,queued
medicare-oep-2026,Medicare Open Enrollment Period (Jan-Mar) 2026: Can You Still Switch?,,,,,none,medium,n,1,"Medicare.gov, MedicareFaq, eHealth",9,competitor-landscape,n
sep-2026-overview,ACA Special Enrollment Period 2026: Who Qualifies and How to Apply,,,,,slight,high,n,1,"Healthcare.gov /sep, Norris, KFF",10,CONTENT_INVENTORY CU-134,queued
pregnant-coverage,Health Insurance for Pregnant Women 2026: ACA SEP + Medicaid Path,,,,,slight,medium,y,1,"Healthcare.gov, Medicaid.gov, KFF, March of Dimes",10,"CONTENT_INVENTORY CU-197, CU-023",queued
sep-missed-deadline,Missed Open Enrollment 2026? Your SEP Options and Catastrophic Path,,,,,none,medium,n,1,"Healthcare.gov, Norris, eHealth",9,competitor-landscape §5,n
cobra-expiring,COBRA Expiring? Your Next-60-Days Coverage Plan 2026,,,,,slight,medium,n,1,"Healthcare.gov /sep/cobra-ending, DOL, Norris",10,competitor-landscape §5,n
